時間,セリフ
0:00,お久しぶりです トランクスです
0:03,未来の地球は セルを倒して平和になったはずでした あいつが現れるまでは
0:10,母さん 待っていてください 俺は必ず平和な世界を取り戻してみせます
0:16,はい、母さんも変わりなく
0:21,一年かけて…これだけ！？でも 片道じゃ 行くだけしか
0:30,今まで ずっとここに詰めていたんですよね 少し休んでください 俺が走ります
0:37,母さんは ここで休んでいてください 全然寝てないんでしょ
0:42,分かりました
0:44,はい…！
0:47,ハァ！装置が...！
0:52,母さん！ハッ！
0:54,母さん！！
0:55,母さん！俺は必ず…ここに帰ってくる…この世界を必ず救う
1:05,マイ…俺を 逃すために ブラックの野郎 俺の気を読めるようになってるんだ
1:15,母さんのプラントを…！破壊されてしまった
1:20,けどね マイ
1:25,母さんが 命がけて抽出したエネルギーだ
1:28,これでいけるぞ 過去に
1:32,大丈夫だ こいつ 一人で生きていけるかな
1:37,そうか お前も食べとけ ッフ…
1:42,片道…今は俺たちが生き残る事が大事だ
1:47,それに 母さんは戻ってくる手はあると言っていた
1:52,それは…分からない だけど俺は… 俺は母さんを信じるよ
1:58,あぁ
2:01,昔行ったその世界には…仲間が居るんだ
2:05,先に行け！
2:08,ズゥゥェェアアアァァァ！！！
2:15,来るな！お前は行け！マイ！
2:19,マイ！！！はっあ…！
2:34,キッサマァァァ…！
2:39,そうはいくか…
2:41,建物はまだ残っている 奴はタイムマシンのことは知らないはずだ うまくすれば 起動できるか よぉし…
2:52,うぅぉぉぉぁあ！！！
2:58,貴様…！よくも…よくもッ！マイぉぉぉ！！！
3:33,真閃光！！！
3:45,よぉし…
3:46,ブラック…！？
3:48,この片道分のエネルギー…絶対に無駄にはしない…はぁ、うぁ！
3:56,うあ…悟空さん？えっあ 本当に 生きている悟空さんですか？確か セル諸共 悟空さん…
4:09,あ…すみませんでした 突然殴りかかったりして
4:13,母さん？
4:16,俺は来られたんだ… 過去に
4:20,母さん…
4:22,もう 大丈夫です
4:25,父さん…
4:27,よろしく
4:29,落ち着くんです つけている方が
4:32,実はね 君が 赤ちゃんの時に 俺は君に会ってるんだよ
4:37,神々…
4:39,ぇえ？破壊？
4:41,はぁ…俺はてっきり 貴方が神だと…
4:45,いやっあ 神様！本当の神様！母は悪くありません！裁くならこの俺を！
4:52,いいえ…魔人ブウの出現は
5:00,戦いは困難を極めました…でも俺は 界王神様の指示を受けて
5:10,なんとか…バビディとダーブラ倒し 魔人ブウの出現を阻止しました
5:16,その後です…更に恐ろしい敵が現れたのは
5:20,すみませんでした さっきは 俺…悟空さんにいきなり殴りかかるなんて
5:26,いえ あれは 時間を越えることに失敗して 奴が目の前にいるのかと…
5:32,奴は…孫悟空と名乗りました
5:35,はい…そうです
5:37,黒い服をまとったそいつを 俺たちは ゴクウブラックと呼んでいました
5:42,あっ でも 未来の母さんが付けたんですよ
5:46,そして…奴は…奴は地球に現れたその日 俺たちに向けてこう言ったんです
5:55,これから正義のために 地球人を全滅させると
6:00,奴はすでにいくつもの星や そこの人々を滅ぼしてきたとも言っていました
6:06,それから1年戦ってきましたが… もうほとんど地上に人間は 残っていません
6:13,母さんも 俺がこの時代に来る直前に
6:18,父さん 違います
6:21,母さんからの メッセージ…？
6:23,母さんは…これが大きな賭けだと言っていました
6:28,この時代の母さんに タイムマシンを託せば きっと未来へ俺を戻してくれるだろうって
6:35,分かりましたぁ
6:36,はい！ぉぉおおおあ！あたたたたたた！はぁぁぁ！
6:43,いいえ！これでも奴には通用しません！アイツは 戦うたびにどんどんパワーアップをするんです
6:51,なっぁっえ！？す…すごい…！超サイヤ人を超えた超サイヤ人を…さらに超えるなんて…！流石悟空さんだ
7:03,なら俺の方もマックスで行きます！
7:06,チャァァァ！！！
7:08,全力の一撃を…指だけで！
7:12,っはぁ…はい…！
7:14,はぁ…ありがとうございます でも…互角 いや もしかしたら奴の方が…
7:22,ご…悟空さん…
7:24,ピッコロさん クリリンさん
7:25,あぁ はい 実は…
7:28,ブラック…！
7:30,何！？
7:31,父さん…
7:32,どうしたんです 悟空さんは 俺と戦った時の力をなぜ使わないんですか
7:38,癖…？
7:40,未来に戻ったに違いない…！
7:44,でもこれじゃ俺は…もう未来に帰ることができない…！
7:49,父さんも…悟空さんも…一緒に戦うと言ってくれたのにッ
7:56,未来では…奴にかなうものはもう誰もいない
8:01,奴は宣言通り…人間を皆殺しにしてしまうだろう…！
8:07,未来では…もう少し強かったようなぁ…
8:10,はい 多分
8:12,え…なっ何があったんですか
8:16,タイムマシンは…最後の希望だったんです
8:20,時の指輪…？じゃあブラックは 何者なのでしょうか
8:25,でも…あの指輪があれば未来に戻れるということですよね 俺に指輪を貸してください 神様
8:34,すっすみません…だけど 俺が戻らないと 未来の地球は…
8:41,母さんとの約束を果たせない マイ…
8:45,はいっ！
8:48,母さん…これは あの時の
8:51,見てください そっちのが俺が乗ってきて カプセルにしておいたタイムマシンです
8:57,いえ あなたは未来で タイムマシンをたった1機しか作らなかった
9:02,こっこいつも…俺の乗ってきたタイムマシンそのものなんです
9:08,これを見てください 
9:10,俺が出発の時に書いた 希望という文字です
9:13,お これを ですか？でもこれはセルが使った…
9:19,分かりました それは 母さんに預けます
9:24,母さん…ありがとうございます
9:27,えぇ まぁ
9:29,君… 今マイって呼ばれてたよね
9:32,やっぱりそうか
9:35,似てると思っていたんだ
