時間,キャスト,セリフ,BGM
,-,(雨が降る学校。廊下を走る由紀),Vol.2 - 25 - 輝く明日のための戦い
,-,(カレラが屯するところを見て恐怖する由紀。目の前にある消化器でカレラを牽制する),｜
,丈槍由紀,あ…あれ…,｜
,-,(その場から逃げ去る由紀),｜
,丈槍由紀,胡桃ちゃん…りーさん…みーくん…！,｜
,-,(部屋にカレラが入ってくる。棚の上に上がるみーくん),｜
,直樹美紀,なんだ…こんな所で死んじゃうんだ…私…,｜
,直樹美紀,(圭の幻覚が見える)圭…ごめん…！もう、会えない…！,｜
,-,(苦しむ胡桃の手を握って寄り添うりーさん),｜
,丈槍由紀,(放送室の表札が目に入る由紀)あった…！,Vol.2 - 25 - 輝く明日のための戦い
,丈槍由紀,(カレラが由紀に迫る)いやああぁぁ！！(金属バットを振るう由紀),-
,丈槍由紀,(動じないカレラ)嘘…(リュックを引き裂かれる)うっあぁ！,-
,-,(カレラに囲まれ目を瞑る由紀の元に太郎丸が現れる),-
,丈槍由紀,(カレラを蹴散らす太郎丸)太郎丸…？(由紀の後ろのカレラを蹴散らす),-
,丈槍由紀,うぁ！,-
,丈槍由紀,(放送室に入ろうとする由紀)太郎丸！,-
,太郎丸,ガゥ…！,-
,丈槍由紀,(帽子を差し出す由紀)おいで…太郎丸。この帽子、好きでしょ,-
,-,(帽子に突っ込む太郎丸。ドアを閉めて太郎丸を抱きしめる由紀),-
,丈槍由紀,やっぱり…覚えてたんだね、お前…,-
,丈槍由紀,酷い怪我…噛まれてる…体も冷たいや…,-
,丈槍由紀,ごめんね…！私、何もしてあげられない…(泣いている由紀),-
,丈槍由紀,みんな、覚えてるんだ。心は無くても…どっか深いところで…,-
,-,(放送室のボタンを押す由紀),-
,丈槍由紀,だから、ここに戻ってくるんだ,該当無し
,丈槍由紀,そうだよね…めぐねぇ,｜
,-,(息を吸い話し始める由紀),｜
,丈槍由紀,下校時刻となりました。まだ学校に残っている生徒は、早くお家に帰りましょう,｜
,-,(反応するカレラとなった由紀の友達),｜
,丈槍由紀,みんな、学校は好きですか？私は大好きです,｜
,丈槍由紀,変だって言われるかもしれないけど、でも、学校ってすごいよ,｜
,丈槍由紀,物理実験室は、変な道具がいっぱい,｜
,丈槍由紀,音楽室…綺麗な楽器と怖い肖像画,｜
,丈槍由紀,放送室、学校中がステージ。何でもあって、まるで一つの国みたいです,｜
,丈槍由紀,こんな変な建物は他になくて…私は好きです,｜
,丈槍由紀,勉強は嫌いだけど、先生は嫌いじゃないし,｜
