時間,キャスト,セリフ,BGM
,直樹美紀,(本を読んでいるみーくん。本を置いてため息をつく)はぁ…,
,若狭悠里,どうしたの？,
,直樹美紀,いえ、ずっと読んでいた本が、今読み終わったんです,
,直樹美紀,あのモールで買った本だったんですけど,
,直樹美紀,思ってたより、早く読み終わっちゃったな…,
,若狭悠里,ねぇ、どんなお話だったの？,
,直樹美紀,えっと…向こうの本で、戦争中の話なのかな,
,直樹美紀,家を焼け出された子供たちが、犬と一緒に旅をするんです,
,若狭悠里,へぇ…,
,直樹美紀,でも、最後が辛くて…,
,若狭悠里,悲しいお話なのかしら,
,直樹美紀,はい、その犬が…,
,直樹美紀,前に翻訳版を読んで、先は知ってたんですけど…やっぱり、原書も同じ結末なんですよね,
,若狭悠里,そう…,
,-,(曇った空を見るみーくん),
,直樹美紀,昨日はあんなに晴れてたのに、今日は雨が降りそうですね,
,若狭悠里,そうね…,
,直樹美紀,ゆうり先輩、雨の日はいつも憂鬱そうですね,
,-,(立ち上がって花に水をやるりーさん),
,若狭悠里,めぐねぇが居なくなった日も…雨が降ってたの…,
,直樹美紀,ぁ…,
,若狭悠里,あれは…みんなでバリケードを作ってた頃ね…,
,若狭悠里,私と胡桃、由紀ちゃん、そしてめぐねぇとの4人で…屋上から少しずつ安全圏を広げて、どうにか暮らせるくらいにまでなったんだけど…,
,若狭悠里,それで、油断してたのかもしれない,
,若狭悠里,あの日、外で夕立が降り始めたの,
,若狭悠里,まだ、あいつらの習性とか分かってない頃だったから…気がついたら校舎中にたくさん入り込んでいて…私たちは取り囲まれてしまって…,
,若狭悠里,あの時…めぐねぇが庇ってくれなかったら…私たちみんな,
,若狭悠里,あの時から…由紀ちゃんの様子、今みたいに,
,直樹美紀,今日は、大丈夫なんでしょうか…最近、数が増えてますよね,
,若狭悠里,美紀さんも気づいてた？,
,直樹美紀,はい…,
,若狭悠里,あの日、奴らが現れたあの時…学校はちょうど放課後で、校舎に残っていた生徒も少なかった,
,若狭悠里,でも、時間が経つにつれ、校外に居た生徒達が帰ってきてるのよ,
,若狭悠里,きっと、生前の通学してた記憶を頼りに,
,直樹美紀,みんな、学校が好きなんですね,
,若狭悠里,え？,
,直樹美紀,由紀先輩が言ってたじゃないですか。私達、みんな学校が好きだから…だから、学校に来るんだって,
,若狭悠里,私はそんなに好きだった記憶は無いけど…でもそうかもしれないわね,
,若狭悠里,それでも、いつまでもここに続けることはできない,
,若狭悠里,水と電気はあっても食料には限界があるから…,
,若狭悠里,せめて次の行き先…進路を決められればね…,
,直樹美紀,その…バリケードの補強とかって、大丈夫でしょうか,
,若狭悠里,使える机や椅子は、ほとんど使っちゃったし…,
,若狭悠里,(みーくんの肩に手を置くりーさん)釘や板の資材も…もう無いのよ…,
,若狭悠里,大丈夫。あのバリケードには、私達の願いとめぐねぇの想いがこもってるもの…そう簡単に壊れたりしないわ,
,-,(ドアを開ける音),
,丈槍由紀,おはよう…,
,若狭悠里,おはよう、由紀ちゃん,
,直樹美紀,おはようございます,
,若狭悠里,珍しく早起きね,
,丈槍由紀,(太郎丸を探す由紀)ん？,
,若狭悠里,お腹空いてるのかしら,
,直樹美紀,だからって、太郎丸の餌を食べちゃダメですよ、先輩,
,丈槍由紀,うぅん、違うよ。起きたら寝床に太郎丸が居なくて…首輪だけ落ちてたからこっちに来てないのかなぁって,
,直樹美紀,え…？,
,-,(OP),
,-,(ピンポン玉で遊んでいる胡桃),
,丈槍由紀,雨降ってきたね,
,恵飛須沢胡桃,マジかぁ,
,丈槍由紀,うん。だって、運動部さんたち雨宿りしてるもん,
,-,(家計簿を付けているりーさん),
,直樹美紀,太郎丸ー,
,若狭悠里,ぁ…,
,直樹美紀,ご飯だよー,
,丈槍由紀,何してるのかなぁ太郎丸。いつもならすぐにご飯鍵嗅ぎつけてくるのに,
,直樹美紀,はい…,
,丈槍由紀,何だろ、ご飯よりも好きな…あ！もしかしてデート？,
,直樹美紀,相手がいませんよ,
,恵飛須沢胡桃,賢すぎるのも…困りもんだなぁ,
,若狭悠里,首輪…めいっぱいきつくしてたのにね,
,直樹美紀,私、探してきます,
,直樹美紀,迷子になってたらいけないし…,
,丈槍由紀,私も！雨降ってるし、濡れたら風邪引いちゃうもんね,
,恵飛須沢胡桃,よし！探しに行くか！,
,直樹美紀,でも、本当に学校の外出てたりしたらどうしましょう,
,恵飛須沢胡桃,大丈夫だって,
,恵飛須沢胡桃,あいつ頭いいし、わけもなく危ないとこに突っ込んだりしねえよ,
,恵飛須沢胡桃,由紀達は、この階を重点的に頼む,
,丈槍由紀,うん！,
,直樹美紀,はい,
,恵飛須沢胡桃,他の階は、私が見てくるよ,
,若狭悠里,一人で大丈夫？,
,恵飛須沢胡桃,大丈夫だって,
,若狭悠里,でも今日は雨が降ってるわ…,
,恵飛須沢胡桃,分かってる、無茶はしないよ,
,恵飛須沢胡桃,でもまあ、世話の焼けるワンコロだな,
,恵飛須沢胡桃,おぉい！太郎丸ー！何処行ったー！ご飯の時間だぞー！早く出てこーい！,
,-,(屋上のドアを開ける胡桃),
,恵飛須沢胡桃,あのドアを開けてぇ出てくるとは思えないけど…,
,恵飛須沢胡桃,太郎丸ー！おぉい！,
,恵飛須沢胡桃,流石にこっちには来てないか…(めぐねぇの墓をみる胡桃)ん…,
,-,(めぐねぇとのやりとりを思い出す胡桃),
,恵飛須沢胡桃,あれ？髪切ったんだぁ、めぐねぇ,
,佐倉慈,え？,
,恵飛須沢胡桃,長いの、似合ってたのに,
,佐倉慈,そうかしら…先生だからね,
,恵飛須沢胡桃,なんだそれ,
,佐倉慈,ちょっと子供っぽかったから、大人になろうと思って,
,恵飛須沢胡桃,ぉ…子供っぽいっかぁ…,
,佐倉慈,恵飛須沢さんはいいのよ,
,-,(笑顔のめぐねぇ),
,恵飛須沢胡桃,でー何だっけ、学園生活部？,
,佐倉慈,えぇそう、ゆうりさんのアイデアなの。えびすざわさんにも参加してもらえたらと思って,
,恵飛須沢胡桃,いんじゃね、なんかこう目的？みたいなもんがあった方が、張り合いがあるだろうし,
,佐倉慈,えぇ,
,恵飛須沢胡桃,泣いてばっかりいるアイツも…少しはげんきになるかもしれないしな…めぐねぇもそう思うだろう？,
,佐倉慈,えぇ、でも恵飛須沢さん、私のことはちゃんと…,
,恵飛須沢胡桃,はいはい、めぐねぇじゃなくて先生ね,
,佐倉慈,ぅ…,
,恵飛須沢胡桃,(片目を開けてめぐねぇを見つめる胡桃)ふ…,
,佐倉慈,んもぉ！,
,-,(笑う胡桃とめぐねぇ),
,恵飛須沢胡桃,その髪も、似合ってるよ…めぐねぇ…,
,恵飛須沢胡桃,チビっこいけど、アイツも大事な部員なんだ…守ってやってくれよな、先生,
,恵飛須沢胡桃,おぉい！早く出てこないと、ご飯食べちゃうぞー！由紀がぁ,
,恵飛須沢胡桃,ピンポン玉もあるぞー、キャッチボールしようぜー,
,-,(バリケードに太郎丸の足跡が付いている),
,恵飛須沢胡桃,これは…太郎丸の…まさか…,
,-,(階下に繋がる太郎丸の足跡)まじかよ…こんな階段の先、行ったことねえぞ,
,-,(迫るカレラ),
,恵飛須沢胡桃,なろ…！,
,恵飛須沢胡桃,ここは…確かあのマニュアルに書いてあった…,
,太郎丸,(シャッターの下から現れる太郎丸)クゥーン…,
,恵飛須沢胡桃,太郎丸！,
,恵飛須沢胡桃,ったくー！心配させんなよなぁ！,
,太郎丸,クゥーン…クゥーン…(胡桃の手に噛みつこうとする太郎丸),
,恵飛須沢胡桃,お前…,
,恵飛須沢胡桃,(感染した太郎丸を見る胡桃)どうしたらいい…！どうすれば,
,-,(襲い来る太郎丸。それを避けたりシャベルでガードする胡桃),
,恵飛須沢胡桃,(倒れる太郎丸)ぁ…！ごめん！…は…！,
,恵飛須沢胡桃,太郎…丸…,
,-,(シャベルの柄に噛み付く太郎丸。シャベルを置いてその場から走り去る胡桃),
