時間,キャスト,セリフ,BGM
,恵飛須沢胡桃,太郎…丸…,Vol.2 - 22 - 再会
,-,(カレラとなっためぐねぇに噛み付かれる),｜
,直樹美紀,避難区画には、薬もあるって書かれているんです,｜
,-,(太郎丸の事を思い出してその場に泣き崩れるみーくん),｜
,-,(バリケードを破壊するカレラ),｜
,丈槍由紀,(めぐねぇの事件を思い出す由紀)うぅぅうう！,｜
,-,(カレラの声が聞こえる),｜
,丈槍由紀,…！,｜
,-,(階段の角から同級生だったカレラが出てくる),｜
,丈槍由紀,誰…？,｜
,-,(カレラとなった同級生達が教室にいる),｜
,丈槍由紀,は…！,｜
,-,(迫り来るカレラ),｜
,丈槍由紀,きやぁぁぁ！！！(響き渡る由紀の悲鳴を聞くりーさん),｜
,若狭悠里,由紀ちゃん…由紀ちゃん…！どうしたの？,｜
,-,(カレラが廊下を歩いている姿を見て驚愕するりーさん),｜
,-,(その場にへたり込むみーくんに迫るカレラ。何も出来ず震えるみーくん),｜
,丈槍由紀,みーくん！(みーくんを守る由紀),｜
,カレラ,ぅぅぅうぅぅ…,｜
,丈槍由紀,みーくん…(シャベルを持つ由紀)早く部室の中へ…！,Vol.2 - 22 - 再会
,直樹美紀,先輩…,-
,丈槍由紀,早く！,-
,-,(迫り来る複数のカレラ),-
,-,(OP),ふ・れ・ん・ど・し・た・い
,-,(部室内で抱き合う由紀とみーくん。カレラがドアを叩いている),-
,丈槍由紀,大丈夫だよ…鍵閉めたから。誰も入って来れないから,-
,-,(鍵を閉めるりーさん。カレラがドアを叩く中暴れ出す胡桃),-
,-,(避雷針を揺らすカレラに雷が落ちる。避雷針が電気設備を破壊する),-
,-,(停電になりみーくんに抱き付く由紀),-
,丈槍由紀,大丈夫…大丈夫だから…,-
,直樹美紀,このままじゃ…そう…薬、取りに行かなきゃ,-
,直樹美紀,薬…人間に聞く薬なら、太郎丸にも,-
,直樹美紀,由紀先輩,-
,丈槍由紀,なぁに,-
,直樹美紀,らしくないですよ,-
,丈槍由紀,みーくん？,-
,直樹美紀,お願いですから、いつもみたいにバカなことを言ってください,-
,直樹美紀,楽しいこと、教えてください,-
,丈槍由紀,ええ？バカな事って…酷いよみーくん,-
,直樹美紀,そうですか？,-
,丈槍由紀,先輩に対するビスケットが足りない,-
,直樹美紀,ぁぁ…リスペクト、ですか？,-
,丈槍由紀,ぅぅ！そぅ…リスが足りない！,-
,-,(笑うみーくん),-
,丈槍由紀,くるみちゃんの病気が良くなったら、また遠足に行こう,-
,丈槍由紀,プールじゃなくて、みんなで海にも行きたい,-
,丈槍由紀,秋には焼き芋食べたい,-
,丈槍由紀,それから、冬になったらスケートやスキーもいいよね,-
,丈槍由紀,今年はいい雪が降るといいな,-
,丈槍由紀,うんと、えっと、それとね。くるみちゃんとサイクリングしたり,-
,丈槍由紀,リーさんと買い物に行ったり,-
,丈槍由紀,みーくんとおいしいもの食べに行って,-
,丈槍由紀,あ、もちろん太郎丸も一緒に,-
,丈槍由紀,それに、めぐねぇも…めぐねぇも…,-
,-,(立ち上がるみーくん),-
,丈槍由紀,みーくん？,-
,直樹美紀,私、行きます,-
,直樹美紀,(準備を始めるみーくん)由紀先輩は、この部屋から出ないようにしてくださいね,Vol.1 - 13 - 冷淡な宣告
,丈槍由紀,みーくん！(シャベルを持つ由紀)私も一緒に！,｜
,直樹美紀,絶対にダメです,｜
,丈槍由紀,ぇ…？,｜
,直樹美紀,もし、太郎丸が戻ってこれた時、誰も居なかったらかわいそうじゃないですか,｜
,-,(ドアを開けて外の様子を確認するみーくん),｜
,直樹美紀,部屋の電気、消えてた方が呼び寄せないみたいですね,｜
,直樹美紀,私が出た後、すぐに鍵を閉めてください。いいですね,｜
,直樹美紀,それじゃ、直樹美紀。行ってきます,｜
,丈槍由紀,みーくん…やっぱり私も(すかさずドアを閉めるみーくん),｜
,丈槍由紀,みーくん…,｜
,-,(走ってカレラにシャベルを当てるみーくん),｜
,直樹美紀,はぁぁぁぁぁ！！！,｜
,-,(微動だにしないカレラ),｜
,直樹美紀,嘘…ぇ…,｜
,直樹美紀,(シャベルを持って走っているみーくん)こんなに重かったんだ…,｜
,直樹美紀,くるみ先輩…いつも、こんな…,｜
,-,(苦しんでいる胡桃。頭を抱える中、ショッピングモールでの出来事を思い出す),｜
,恵飛須沢胡桃,もし、私が感染したら迷わないでほしい。約束してくれ…,｜
,-,(雷が落ちる),｜
,-,(物陰で休んでいるみーくん。体育祭のポスターを見つめる),｜
,直樹美紀,気が付くと、たくさんのものをもらっていた,｜
,直樹美紀,楽しいこと…暖かいこと…希望…,｜
,直樹美紀,負けられない、よね(再び走り出すみーくん),｜
,-,(電気設備から出た火花により燃えるカレラ),｜
,-,(階段を降りるみーくん。階下から迫るカレラを見て迂回する),｜
,-,(バリケードや背後に迫るカレラ),｜
,直樹美紀,(ポータブルCDプレイヤーを手に取るみーくん)お願い…助けて…圭,Vol.1 - 13 - 冷淡な宣告
,-,(ポータブルCDプレイヤーで音楽を流すみーくん),We took each other’s hand
,-,(部室で一人蹲っている由紀。バリケードに群がるカレラ),｜
,-,(ピンポン玉でカレラを誘導する中、背後にいた彼らに驚いて倒れるみーくん),｜
,直樹美紀,落ち着け…でも急げ…！,｜
,-,(カレラの脚にシャベルを当てて倒し、再び走るみーくん),｜
,直樹美紀,焦るな…でも急げ…！,｜
,-,(頭を抱えるりーさん。めぐねぇの車で帰っている時の事を思い出す),｜
,恵飛須沢胡桃,なぁ、りーさん…りーさん？,｜
,-,(目を覚ますりーさん),｜
,恵飛須沢胡桃,ぁ…悪ぃ、寝てたのか…,｜
,若狭悠里,ん？どうしたの？,｜
,恵飛須沢胡桃,いや、ちょっと話し相手が欲しくなってさ。随分荒っぽい運転してんのに、後ろの連中はぐっすりだし,｜
