時間,キャスト,セリフ,BGM
,丈槍由紀,(由紀の寝息),
,太郎丸,(太郎丸が箱から出て由紀を起こす)ワン！ワン！,
,丈槍由紀,(由紀の顔を舐める太郎丸),
,丈槍由紀,ぅうぅ！もう太郎丸舐め過ぎ,
,太郎丸,ワン！,
,丈槍由紀,こんな騒いだらみんな起きちゃう…って、あれ？,
,丈槍由紀,はぁ！遅刻遅刻ー！,
,-,(服を着替える由紀),
,丈槍由紀,急げ急げぇ…！,
,太郎丸,(由紀に抱き付く太郎丸)ワン！,
,丈槍由紀,うわぁ！,
,丈槍由紀,わぁぁっぁあ,
,丈槍由紀,うん…！,
,丈槍由紀,行くよー太郎丸,
,太郎丸,アン！,
,丈槍由紀,うふっ！,
,-,(部屋のドアを閉める由紀),
,丈槍由紀,最近、学校が好きだ！,
,丈槍由紀,おっはよう！,
,丈槍由紀,中でも私が好きなのは！,
,-,(OP),
,-,(廊下を走る由紀),
,丈槍由紀,到着ー！って！どこ行くの太郎丸、こっちこっち！,
,丈槍由紀,(ドアを開ける由紀)みんなー！おっはよー！,
,太郎丸,ワン！,
,恵飛須沢胡桃,ん、あぁ。おはよ,
,直樹美紀,由紀先輩、おはようございます,
,若狭悠里,おはよう、由紀ちゃん。きょうはちょっとお寝坊さんね,
,丈槍由紀,ぃやーそれほどでも〜うふふふふふ,
,恵飛須沢胡桃,褒められてないぞぉ,
,丈槍由紀,もぉ、胡桃ちゃんは朝から厳しいなぁ、ってかなんで朝からシャベル？,
,恵飛須沢胡桃,ふふーん、知らないな？第一次大戦の塹壕戦で,
,丈槍由紀,(胡桃が話す中みーくんに話しかける由紀)みーくん何読んでるの？,
,恵飛須沢胡桃,最も人を殺した武器、そう、コレは何を隠そう…,
,直樹美紀,みーくんって言うのやめてください…,
,恵飛須沢胡桃,って聞けよ！,
,丈槍由紀,そういえばこの前さ,
,恵飛須沢胡桃,聞いてねぇし…,
,丈槍由紀,部活忘れて家に帰りそうになっちゃったぁ,
,恵飛須沢胡桃,危ねぇなぁ,
,丈槍由紀,でも、めぐねぇが止めてくれてさー,
,恵飛須沢胡桃,そっか、めぐねぇに感謝しないとな,
,丈槍由紀,うん！,
,直樹美紀,先輩はぼんやりしすぎです…,
,丈槍由紀,ハッ！,
,直樹美紀,どうしたんですか先輩,
,丈槍由紀,この匂いは…スパゲッティだぁ！,
,太郎丸,ワン！,
,直樹美紀,もういいです,
,若狭悠里,今日はミートソースよ,
,丈槍由紀,わーい！りーさん大好きぃ！,
,若狭悠里,もぅ、残りのお皿持ってきて,
,丈槍由紀,はぁい,
,直樹美紀,机の上はダメでしょ、ほらこっち,
,太郎丸,アン(そっぽを向く太郎丸),
,恵飛須沢胡桃,ド…ドンマイ…,
,若狭悠里,太郎丸…おいたしちゃあ、ダメでしょう？,
,丈槍由紀,(由紀の足元に擦り寄る太郎丸)おぉぉと、なになにどうしたの？,
,若狭悠里,太郎丸もお腹空いてるのよ,
,丈槍由紀,そっか、お前も一緒に朝ごはんだね,
,太郎丸,(腹の虫が鳴く音)ワン！,
,直樹美紀,私も手伝います,
,恵飛須沢胡桃,あーあ、太郎丸も所詮はワンコロだなぁ(腹の虫が鳴く音)んぁ…私も手伝おっかな,
,丈槍由紀,待て！,
,若狭悠里,みんな揃ったわね、では！,
,一同,いただきまーす,
,恵飛須沢胡桃,(ガツガツ食べる由紀を見る胡桃)お前もうちょっと味わって食べろよ,
,丈槍由紀,ん？,
,恵飛須沢胡桃,ほれ、美紀を見てみろ,
,丈槍由紀,ん…,
,直樹美紀,(ミートソーススパゲッティを食べる美紀)美味しい…,
,丈槍由紀,はぁ…,
,直樹美紀,ハッ…！あんまり見ないでください先輩,
,丈槍由紀,！ごみん…,
,若狭悠里,由紀ちゃんもご飯はちゃんとよく噛んで食べてね,
,丈槍由紀,ら、らじゃー…,
,丈槍由紀,あーん(咀嚼する由紀)美味しい…,
,恵飛須沢胡桃,そこは真似せんでいい,
,丈槍由紀,えー,
,直樹美紀,先輩嫌いです,
,丈槍由紀,えー！,
,丈槍由紀,許してみーくん、もっと練習するから,
,直樹美紀,やめてください,
,若狭悠里,由紀ちゃん、そろそろ時間じゃないかしら？,
,丈槍由紀,あ！そうだ！今日日直だった、急げ急げー！,
,若狭悠里,あぁ、まだ残ってるわよ？,
,恵飛須沢胡桃,ほとんど噛まずに飲み込んでるな…,
,若狭悠里,もぅ、言ってる側から…,
,丈槍由紀,ぷはぁっ！では行ってきます。あと、ごちそうさまでした,
,若狭悠里,いってらっしゃい,
,-,いってらっしゃーい,
,直樹美紀,あ…,
,丈槍由紀,(廊下を走る由紀)最近、学校が好きだ！変だって言われそうだけど、学校ってすごいよ,
,丈槍由紀,物理実験室は変な機械がいっぱい,
,丈槍由紀,音楽室、綺麗な楽器と怖い肖像画,
,丈槍由紀,放送室、学校中がステージ。何でもあって、まるで一つの国みたい,
,丈槍由紀,こんな変な建物、他にない！,
,佐倉慈,丈槍さん,
,丈槍由紀,学校大好きな私たち、毎日だって暮らしたい！,
,佐倉慈,丈槍由紀さん,
,丈槍由紀,え！ぁあああぁ…ぅ…,
,丈槍由紀,めぐねぇ,
,佐倉慈,めぐねぇじゃなくて、佐倉先生でしょう,
,佐倉慈,丈槍さん、廊下を走ったらいけませんよ。もう、さっきから何度も呼んだのに,
,丈槍由紀,ははぁ…ごめんなさぁい,
,丈槍由紀,影薄いから気付かなかったよ,
,佐倉慈,はぅ…,
,丈槍由紀,あ！日直だからもう行かなきゃ、またねー！,
,佐倉慈,しょ、ショボーン…影が薄いって…,
,-,(ドアを開ける音),
,丈槍由紀,(机にへたり込む由紀)セーフ…,
,柚村貴依,よぉ学園生活部、今日も部室からか,
,丈槍由紀,うん,
,女子生徒A,その割にいつもギリギリだね,
,丈槍由紀,このギリギリセーフのスリルがいいんだよ〜,
,男子生徒A,おーい日直誰だ、黒板消してないぞぉ,
,丈槍由紀,あぁ,
,女子生徒B,あ、先生来たよ,
,丈槍由紀,あぅぅぅ…,
,丈槍由紀,よぉし、今日はこれから頑張るぞ！,
,女子生徒一同,立ち直りめっちゃ早！,
,柚村貴依,んまぁその方がアンタらしいけどね,
,丈槍由紀,えっへへ〜,
,神山昭子,日直、号令,
,丈槍由紀,はい！,
,丈槍由紀,起立、礼、着席,
,丈槍由紀,すぅー、すぅー…,
,教室内一同,ぇえええええ！！！,
,柚村貴依,寝るのもめっちゃ早…！,
