時間,キャスト,セリフ,BGM
,恵飛須沢胡桃,(グラウンドを走る胡桃)走るのは、嫌いじゃない,Vol.2 - 15 - 記憶の中の景色
,女子生徒,胡桃胡桃！先輩来たわよ！,｜
,恵飛須沢胡桃,(先輩を見つめる胡桃)でも、部に入った動機は…割と不純だ,｜
,恵飛須沢胡桃,マネージャーって、柄でもなかったし,｜
,-,(夕方の空が広がる屋上で先輩の隣にいる胡桃),｜
,恵飛須沢胡桃,こんな綺麗な日々が…ずっと続くって思ってた,｜
,恵飛須沢胡桃,(先輩が胡桃に手を伸ばす)ん…ぁ…,Vol.2 - 15 - 記憶の中の景色
,-,(変貌した先輩が胡桃の腕を掴んで唸る),Vol.1 - 14 - 空虚な世界
,恵飛須沢胡桃,(飛び起きる胡桃)なっ…！(その隣でぐっすり眠る由紀),-
,-,(OP),ふ・れ・ん・ど・し・た・い
,-,(眠っている由紀),Vol.1 - 01 - 目覚めのワルツ
,直樹美紀,もう朝ですよ、先輩！先輩ー,｜
,丈槍由紀,ぅうぅ…,｜
,直樹美紀,(お玉で鍋を叩くみーくん)先輩！起きてくださーい！朝ごはんですよ！,｜
,丈槍由紀,じゃあ…持ってきて…,Vol.1 - 01 - 目覚めのワルツ
,-,(お玉で叩く音),-
,丈槍由紀,うぅぅぅ…みーくん、お玉はそうやって使うもんじゃ…,-
,直樹美紀,知ってます。みんな待ってるんですから、早く行きましょう,-
,丈槍由紀,ふん…ごみん…ハッ！,-
,直樹美紀,え？,-
,丈槍由紀,こ…この匂いは…！,-
,直樹美紀,またそれですか…,-
,丈槍由紀,のんびりしてらんないよみーくん！早く行こう！,-
,直樹美紀,ぇえええ！,-
,丈槍由紀,ぉおおお！やっぱりカレーだぁ！,Vol.2 - 04 - ほんわか昼休み
,若狭悠里,おはよう、由紀ちゃん,｜
,恵飛須沢胡桃,やっと嗅ぎつけてきたな,｜
,丈槍由紀,おはよう、今日は朝から景気がいいね〜,｜
,若狭悠里,このところ非常食ばっかりだったから。あ、でもビタミンもちゃんと摂ってね,｜
,佐倉慈,でも、朝から重たそう,｜
,丈槍由紀,これ食べたら太っちゃうかなぁ,｜
,若狭悠里,あらあら,｜
,直樹美紀,私たちは育ち盛りだから、これぐらい大丈夫ですよ,｜
,恵飛須沢胡桃,そうそう、私たちは若いしな,｜
,佐倉慈,グゥフッ！,｜
,若狭悠里,じゃあ、いただきましょうか,｜
,丈槍由紀,はーい,｜
,一同,いっただきます,｜
,佐倉慈,い、いっただきまーす…,｜
,太郎丸,ワン！,Vol.2 - 04 - ほんわか昼休み
,丈槍由紀,ご馳走様でした！,-
,若狭悠里,はーい,-
,丈槍由紀,んじゃあ授業に行ってくるね,-
,直樹美紀,あ…,-
,佐倉慈,そうね、マンツーマンでしっかり勉強よ,-
,丈槍由紀,(椅子から立ち上がる由紀)めぐねぇとマンツーマン！,-
,恵飛須沢胡桃,何でそんなにテンション高いんだよぉ,-
,丈槍由紀,だって！めぐねぇと二人っきりだよ！面白そうじゃん！,-
,恵飛須沢胡桃,さてはお前、勉強する気ないな？,-
,丈槍由紀,ぎくっ,-
,丈槍由紀,そんな事ないよ〜,-
,丈槍由紀,んじゃ、行ってきます,-
,恵飛須沢胡桃,行ってら,-
,若狭悠里,いってらっしゃい,-
,丈槍由紀,ほらめぐねぇ、早く早く,-
,直樹美紀,昨日も由紀先輩、教室で喋ってました…,-
,直樹美紀,一人で,Vol.1 - 23 - 言いたかった言葉
,恵飛須沢胡桃,そうか,｜
,直樹美紀,やっぱり、なんとかした方がいいのでは。由紀先輩、この間も一人で帰宅しそうになったって言ってましたよね、危険だと思います,｜
,若狭悠里,危険じゃないわ,｜
,若狭悠里,今、由紀ちゃんのそばにはめぐねぇも一緒にいてくれてるし…それに、こんな状況で、楽しく当たり前の時間が過ごせるなら、それに越したことはないと思わない？,｜
,直樹美紀,でも！,｜
,若狭悠里,私たちは専門家じゃない,｜
,直樹美紀,うっ,｜
,若狭悠里,もう少し、見守った方がいいんじゃないかしら,｜
,直樹美紀,…分かりました,｜
,-,(椅子から立ち上がる胡桃),｜
,恵飛須沢胡桃,では！恵飛須沢胡桃、朝の見守り行ってきます！,｜
