時間,キャスト,セリフ,BGM
,佐倉慈,これは多分…遺書だ,
,佐倉慈,少し落ち着いた…まだまだ予断は許されないが、少しだけ余裕ができたので、思ったことを書いておこうと思う,
,佐倉慈,私は佐倉慈。私立巡りが丘学院高校の、国語教師だった,
,-,(文字を訂正する),
,佐倉慈,いや…国語教師だ,
,佐倉慈,たとえ…すでにここが、学校として機能していなくても…,
,佐倉慈,あの日、放課後の屋上で私は初めて、それを認識した,
,佐倉慈,いいえ。本当はそれよりも前…あの日、私が何かの兆候をはっきりと感じたのは…いつだったろうか,
,-,(OP),
,-,(目覚まし時計のアラーム音),
,-,(目覚ましを止めるめぐねぇ),
,-,(スマホの通知を聞いてスマホを取る),
,佐倉慈,はぁ…,
,佐倉慈,かぁっぺっ,
,佐倉慈,リボンリボン,
,佐倉慈,うん…！,
,佐倉慈,あっ！いっけない！,
,佐倉慈,また…？運転中です！,
,佐倉慈,心配してくれてるのは分かる…先生なんて向いていないって、母さん言っていたものね。教職課程を選んだ時も、教員免許を取った時も…,
,佐倉慈,今朝はサイレン多いなぁ…,
,-,(プツン),
,教頭,教師に向いていないとまでは言いません。しかし、生徒との距離感を間違えてはいけませんよぉ？友達感覚と言えば、聞こえは良いかもしれませんが,
,佐倉慈,教師に向いていないか…,
,教頭,いいですか？,
,佐倉慈,はい…すみません…,
,神山昭子,あんまり気にしないで。若い先生には誰にだってああいうんだから、うちの教頭,
,佐倉慈,はい,
,-,(暴動が起きている様子をテレビが映している),
,神山昭子,ん？何だろう…,
,神山昭子,物騒ね,
,佐倉慈,それじゃあ、先週の答案のテストを返しますね,
,佐倉慈,石塚くん,
,男子生徒,あーい,
,佐倉慈,證誠寺さん,
,女子生徒A,はい,
,佐倉慈,世良くん,
,男子生徒,はいっ！,
,佐倉慈,丈槍さん。丈槍由紀さん？,
,丈槍由紀,はーい…,
,女子生徒B,ふっふふ…あの帽子…,
,佐倉慈,授業が終わったらぁ補習ね,
,丈槍由紀,めぐねぇ酷い,
,佐倉慈,めぐねぇじゃありません、佐倉先生でしょう,
,佐倉慈,友達感覚…そうなのかな…,
,-,(プツン),
,女子生徒A,先生、さようなら,
,女子生徒B,さようならー,
,女子生徒A,めぐねぇも大変,
,佐倉慈,なぁに？,
,丈槍由紀,は…,
,佐倉慈,私がそばに居ると、集中できない？,
,-,(首を振る由紀),
,丈槍由紀,テストは好きじゃない。でも、めぐねぇと一緒に居るのは、そんなに嫌いじゃないよ,
,佐倉慈,じゃあ、一緒に頑張ろうか,
,丈槍由紀,えへへ…,
,-,(プツン),
,-,(教室内を覗き込む胡桃、めぐねぇに気付かれて走り去る),
,佐倉慈,由紀ちゃん、ちょっと席外すね,
,丈槍由紀,ぇえー,
,佐倉慈,何かあったら廊下にいるから、すぐ呼んでね,
,丈槍由紀,ふぅー。お腹すいた、お菓子食べたい,
,佐倉慈,テスト終わったらね,
,佐倉慈,ぁ…！,
,-,(めぐねぇに気付く胡桃),
,佐倉慈,どうしたの?えびすさわさん。今部活中よね,
