時間,キャスト,セリフ,BGM
,丈槍由紀,(鼻歌を歌う由紀),-
,-,(ドアを開ける音),-
,恵飛須沢胡桃,よぉ、何作ってんだ？,-
,丈槍由紀,卒業アルバムだよ,-
,恵飛須沢胡桃,卒業アルバム？,-
,丈槍由紀,学園生活部オリジナル！,-
,恵飛須沢胡桃,へー,-
,若狭悠里,あら、いいわね,-
,丈槍由紀,手書きの方がいいアルバムになるってめぐねぇが,-
,-,(卒業アルバムを見て笑う胡桃),-
,恵飛須沢胡桃,でも由紀の絵が下手すぎ,-
,丈槍由紀,にゃ…！にゃにをー！,-
,若狭悠里,美紀さんも手伝ってあげてるのね,-
,直樹美紀,他の活動もちゃんとするって条件付きです,-
,恵飛須沢胡桃,おっ！由紀の落書きと違って、やっぱり美紀は上手いなぁ,-
,丈槍由紀,んむー！,-
,恵飛須沢胡桃,本読んでいるのが美紀でぇ,-
,丈槍由紀,え？この子誰？,-
,直樹美紀,大切な、友達です,-
,-,(過去回想に移る),Vol.2 - 11 - あったかい気持ち
,直樹美紀,あの日…授業が早めに終わって…でも、空があんまり青くて綺麗だったから。まっすぐ帰るのがもったいなくて、ちょっとだけ寄り道をした,｜
,若狭悠里,美紀！早く！,｜
,直樹美紀,(走るみーくん)うん！,｜
,祠堂圭,美紀はどこに寄る？,｜
,直樹美紀,私、欲しい本があるんだ,｜
,祠堂圭,よぉし、本屋ね。じゃあその後でゲーセン寄ってもいい？,｜
,直樹美紀,もちろん,｜
,-,(暴動の様子を映すモニターを見るみーくん),｜
,祠堂圭,またプリクラ撮ろうよ！新しい機能付きのやつ！,｜
,直樹美紀,あぁ…ちょっと待って、圭！,｜
,祠堂圭,ん？,Vol.2 - 11 - あったかい気持ち
,-,(OP),ふ・れ・ん・ど・し・た・い
,店員,ありがとうございましたー,Vol.1 - 11 - てきぱきみきロジカル派
,直樹美紀,(クスクス笑うみーくん),｜
,祠堂圭,何何？,｜
,直樹美紀,何でもない,｜
,祠堂圭,もぉ何よー,｜
,祠堂圭,いやーモールはやっぱいいねぇ！,｜
,直樹美紀,今時ポータブルCDプレイヤーとか…,｜
,祠堂圭,ぁあ！バカにしてぇ、絶対音が違うんだってー！むー！,｜
,太郎丸,ワンワン！,｜
,一同,？,｜
,祠堂圭,可愛い！君もCD派かな？,｜
,太郎丸,ワン！,｜
,祠堂圭,ほら！,｜
,直樹美紀,ぇえ…,｜
,おばあちゃん,あら太郎丸、遊んでもらったの？,｜
,祠堂圭,あすいません可愛くて,｜
,おばあちゃん,いいのよ、こちらこそありがとう。ほら、お姉ちゃんにさよなら,｜
,太郎丸,ワオン！,｜
,祠堂圭,じゃあねー！,Vol.1 - 11 - てきぱきみきロジカル派
,おばあちゃん,またね,-
,祠堂圭,(みーくんが読んでいる本を横から覗き込む圭)ん？,-
,祠堂圭,すごーい、これ読むの？,-
,直樹美紀,翻訳版は読んだから、なんとか読めるかなって,-
,祠堂圭,ふーん,-
,客A,(モール中に響く叫び声)きゃー！,-
,一同,！？,Vol.1 - 19 - Unpeaceful
,祠堂圭,(階下を見下ろすみーくんと圭)何…これ,｜
,アナウンス,(店内アナウンスが放送される)ご来店のお客様にお伝えします。ただいま店内にて、傷害事件が発生しました。現在、事態の収集にあたっておりますので、皆様におかれましては、慌てずに店員の指示に従って…(ノイズのみになる),｜
,客B,やべぇんじゃねぇの,｜
,客B,これ…火災警？,｜
,客A,マジ…マジィ？,｜
,客A,逃げよ…,｜
,祠堂圭,私たちも行こ！,｜
,客B,ぉおぃ、何で動かないんだ,｜
,客C,エレベーターが止まってるんだよ…,｜
,客C,押すなぁ！下で下敷きになってんぞ！,｜
,直樹美紀,下は無理っぽい…,｜
,祠堂圭,あっち！,｜
,祠堂圭,すいません、エレベーター動いてますか？,｜
,客B,わからない…僕たちも来たばかりなんだ…,｜
,祠堂圭,そうですか…,｜
,直樹美紀,止まってるみたい、1階から動かないよ,｜
,直樹美紀,(動き始めるエレベーター)動いた…,｜
,祠堂圭,きっと全部何かの間違いだよ…,｜
,直樹美紀,そう…だよね…,Vol.1 - 19 - Unpeaceful
,-,(エレベーターの惨状を見て悲鳴を上げる一同),-
,祠堂圭,何よあれ！なんなのよ！,Vol.1 - 21 - hideosity
,-,(騒然とするモール内、停電する),｜
,-,(試着室に逃げ込むみーくんと圭),｜
,祠堂圭,さっきのエレベーターの人たち…死んでたのかな…,｜
,直樹美紀,多分…血がいっぱい付いてた…,｜
,祠堂圭,火事や事故じゃ…あんな風にならないよね…？,｜
,直樹美紀,ぅん…,｜
,-,(何かが倒れる音がする),｜
,祠堂圭,(太郎丸が圭に飛び付く)きゃー！,Vol.1 - 21 - hideosity
,祠堂圭,あ…さっきのワンちゃん！,-
,太郎丸,ワン！,-
,祠堂圭,無事だったんだね！,-
,直樹美紀,ぁっけっ圭…その子、怪我してる…,-
,祠堂圭,ぇ？,-
,祠堂圭,ううん、この子は怪我してないみたい,-
,直樹美紀,じゃあその血は…,-
,-,(カレラとなった婆さんの声が聞こえる),Vol.2 - 19 - 不吉な夢を見る
,-,(何かを貪るカレラ),Vol.2 - 19 - 不吉な夢を見る
,直樹美紀,何が起きたのか、本当に理解できたのは…もう少し先だった…,Vol.2 - 15 - 記憶の中の景色
,直樹美紀,ただ、取り返しのつかないことが始まったのは、分かった…,｜
,-,(手を握り合って眠るみーくんと圭),Vol.2 - 15 - 記憶の中の景色
,一同,いただきます,-
,-,(食事をするみーくん、圭、太郎丸),-
,直樹美紀,伝染病…なのかな…映画みたい,-
,祠堂圭,病気なら、ワクチン。治療薬作ってるとか。きっと、外国からも軍隊や救助隊が来るよね,-
,直樹美紀,うん…,-
,祠堂圭,まあ、くよくよしてもしょうがないよね！,-
,直樹美紀,そうだね,-
,直樹美紀,でも、いつまで経っても、助けなんて来なかった…,-
,直樹美紀,来る気配すらなかった,-
,-,(ノイズを聞いている圭),-
,直樹美紀,圭、何聞いてるの？,-
,祠堂圭,ラジオ…,-
,直樹美紀,そっか…それ、ラジオも聞けるやつだもんね,-
,祠堂圭,そうなんだけど…なんでか…ずっと。どこの曲も入らないんだ,-
,-,(ドアを叩くカレラ),-
,一同,は！？,-
,直樹美紀,圭…！,-
,祠堂圭,アイツらだ…！,-
,-,(ドアをダンボール越しに抑えるみーくんと圭),-
,-,(その場に座り込む2人、外を見つめる圭),-
,祠堂圭,外に…出たいな…,-
,直樹美紀,え…！そんな…！危ないよ…！,-
,祠堂圭,でも！ここもいつまで大丈夫か…,-
,直樹美紀,圭…！,-
,祠堂圭,分かったよ…美紀…,Vol.1 - 20 - 冷酷な表情
,-,(結んだ手を離す圭),｜
,祠堂圭,私…やっぱり外に出たい,｜
,直樹美紀,ぁ…,｜
,直樹美紀,ここにはまだ、水も食料もあるんだよ。助けが来るまで、一緒に頑張ろう？,｜
,祠堂圭,外に出なきゃ、私たちがここにいるってわからないじゃない…シャワーだって久しぶりに浴びたいし…,｜
,直樹美紀,ここは、水道が使えるだけラッキーだったよ,｜
,祠堂圭,トイレの小さな洗面台だけじゃない、あんな汚い！,｜
,太郎丸,ワン？,｜
,直樹美紀,ごめん…私…,｜
,祠堂圭,食べ物だって、いつか無くなるんだよ…？そしたらどうするの？,｜
,直樹美紀,それは…,｜
,祠堂圭,なんか私ばっかり、わがままみたい…,｜
,直樹美紀,圭…,｜
,祠堂圭,トイレ…,｜
,-,(太郎丸を撫でるみーくん),｜
,-,(反対方向を向いて寝る圭、それを悲しそうに見つめて眠るみーくん),Vol.1 - 20 - 冷酷な表情
,丈槍由紀,(ニヤニヤしながら眠っている由紀、突然目覚める)はっ！,-
,丈槍由紀,すごいこと思いついた！,-
,恵飛須沢胡桃,(電気を付ける胡桃)なんだよ…おい…,-
,丈槍由紀,すぅぅぅっごい楽しい事だよ！,-
,恵飛須沢胡桃,はいはい、何ですかぁ,-
,丈槍由紀,ふっふっふっー、それはぁ部員3人でぇ,Vol.1 - 04 - 会話は踊る
,恵飛須沢胡桃,…3人で,｜
,丈槍由紀,あとは明日のお楽しみ！,｜
,恵飛須沢胡桃,ホァチョー！,｜
,若狭悠里,もぉ…うるさいわねぇ…,｜
,丈槍由紀,(りーさんに泣きつく由紀),｜
,若狭悠里,あらあら、どうしたの？,｜
,丈槍由紀,うぅー、胡桃ちゃんのチョップがつむじにめり込んだ,｜
,恵飛須沢胡桃,めり込むか！,｜
,若狭悠里,乱暴はめっ！,｜
,丈槍由紀,ぐすん,｜
,恵飛須沢胡桃,コイツが勿体ぶるからさぁ,｜
,丈槍由紀,だってだって、今言っちゃうより…明日もいいことがあるって思える方が、楽しいでしょ,｜
,恵飛須沢胡桃,分かったからそういうのは寝る前にな,｜
,若狭悠里,そうね、早く寝ましょうか,｜
,丈槍由紀,はーい！,｜
,-,(電気を切る胡桃),｜
,丈槍由紀,むふっ…むふふふ…,｜
,恵飛須沢胡桃,寝ろ！,｜
,丈槍由紀,だってぇ〜,｜
,恵飛須沢胡桃,うるさくて寝れねぇだろうがぁ、なぁりーさん？んりーさん？,｜
,-,(鼻提灯を出して眠るりーさん),｜
,恵飛須沢胡桃,さすがりーさん…,Vol.1 - 04 - 会話は踊る
,-,(荷物をまとめる音とそれを他所に眠っているみーくんが目を覚ます),-
,直樹美紀,何…してるの？,-
,祠堂圭,私、行くよ,-
,直樹美紀,え…行くって…出てくって事…？,Vol.1 - 13 - 冷淡な宣告
,-,(立ち上がる圭),｜
,直樹美紀,ねぇ！,｜
,直樹美紀,(圭の前に立ち塞がる美紀)待ってよ！,｜
,祠堂圭,ね、美紀はここでずっと暮らしていくつもりなの？,｜
,直樹美紀,それは…,｜
,-,(ドア前のダンボールを退かす圭、それを見て心配そうな鳴き声を出す太郎丸),｜
,太郎丸,ワオン〜…,｜
,直樹美紀,太郎丸…,｜
,-,(ドアの外を確かめる圭),｜
,祠堂圭,今なら大丈夫そう,｜
,直樹美紀,圭…,｜
,祠堂圭,部屋に閉じこもって、生きていればそれでいいの？,｜
,直樹美紀,は…,｜
,祠堂圭,大丈夫。絶対に助けを連れてくるから…それまでこれ、預かってて,｜
,-,(首を横に振るみーくん),｜
,-,(ポータブルCDプレイヤーをその場に置く圭),｜
,祠堂圭,じゃあね…,｜
,-,(圭が出て行った直後に吠え始める太郎丸),｜
,直樹美紀,静かにして！！！,｜
,太郎丸,(怯える太郎丸に気付いて抱きしめるみーくん),｜
