時間,キャスト,セリフ,BGM
,目覚まし時計,おはよう、ねぼすけー、朝だぞー(4回繰り返す),
,直樹美紀,(目覚ましを止めるみーくん)起きなきゃ…,
,-,(洗面台で顔を洗うみーくん、鏡に映る窓を見て昨日の出来事を思い出す),
,直樹美紀,(窓の近くに餌を置く)太郎丸、ご飯だよ…,
,直樹美紀,(ドアを小突く音が聞こえる)…！太郎丸！？太郎丸！,
,-,(ドアのダンボールを退かすみーくん),
,直樹美紀,(カレラがドアを強く叩く)違う…！,
,直樹美紀,(カレラがドアを強く叩く中、それを阻止するみーくん)ダメッ！,
,直樹美紀,どうして…どうして！！！,
,-,(OP),
,丈槍由紀,遠足〜！,
,佐倉慈,遠足〜,
,由紀とめぐねぇ,楽しい遠足〜,
,丈槍由紀,めぐねぇ！バナナはおやつに入りま〜すか！,
,恵飛須沢胡桃,ノリノリだな,
,佐倉慈,はいりまー、せん！,
,若狭悠里,もうそろそろ着く筈よ,
,丈槍由紀,やったぁ！はははっ！うふふふっ！,
,恵飛須沢胡桃,おっ、あれかなぁ,
,丈槍由紀,とうちゃーく！,
,佐倉慈,もうはしゃぎ過ぎよ,
,恵飛須沢胡桃,遠足で熱出すタイプだな,
,丈槍由紀,ぅじゅそんな事ないよ、ないもーん,
,恵飛須沢胡桃,ほら、もう赤くなってる,
,若狭悠里,まぁまぁ,
,佐倉慈,でも、本当に心配だわ,
,丈槍由紀,みゃ、みゃにをー。めぐねぇこそ…,
,恵飛須沢胡桃,(めぐねぇと話す由紀を他所に喋る胡桃)ここまでは何とかなったな,
,若狭悠里,確かに平日だったから、出歩いているのは少なかったわね,
,恵飛須沢胡桃,あいつら…みんな学校や仕事に行ってるんだな,
,恵飛須沢胡桃,まるで生前の記憶があるみたいに,
,若狭悠里,まぁ、この先も気を抜かずに、遠足を楽しみましょう。せっかく久しぶりのショッピングなんだし,
,丈槍由紀,ねぇ二人共！早くー！,
,恵飛須沢胡桃,そうだなぁ、あの危なっかしい奴の面倒も見ないとな,
,丈槍由紀,えへへ…,
,丈槍由紀,開けっぱなし？,
,丈槍由紀,お休みですかー？こんにちはー！,
,恵飛須沢胡桃,おい、あんまり大きな声出すなよ,
,丈槍由紀,え？どうして？,
,恵飛須沢胡桃,どうしてって…,
,若狭悠里,何かイベントがあるみたいよ,
,丈槍由紀,イベント？お祭りみたいなの？,
,若狭悠里,コンサートイベント中みたい。迷惑にならないように静かにね,
,丈槍由紀,はーい！,
,一同,しー！,
,若狭悠里,ありがとう。さぁみんな、行きましょう,
,丈槍由紀,わぁ、広ーい,
,若狭悠里,やっぱりいるわね…,
,恵飛須沢胡桃,これくらいの数ならどうって事ない…なるべく、音立てないようについてきて…,
,若狭悠里,分かった…,
,丈槍由紀,分かった！,
,恵飛須沢胡桃,しっ！,
,丈槍由紀,ごめん！,
,恵飛須沢胡桃,よし…行くぞ,
,-,(走って2階に上がる一同),
,-,(シャッターを閉める胡桃),
,若狭悠里,この中には居ないみたい,
,恵飛須沢胡桃,サンキュー、りーさん,
,丈槍由紀,何かあるかな〜？,
,若狭悠里,(ペンライトを手に取るりーさん)へー…,
,恵飛須沢胡桃,りーさん、私地下に行ってくる,
,若狭悠里,食品売り場？でもとっくに腐ってるんじゃないかしら,
,恵飛須沢胡桃,缶詰は欲しいだろう？,
,-,(シャッターを開ける胡桃),
,若狭悠里,あんまり無茶しないでね,
,恵飛須沢胡桃,分かってるって,
,丈槍由紀,ねぇりーさん、これ見て見て,
,若狭悠里,んー？どうしたの？,
,-,(ポータブルCDプレイヤーで音楽を聴くみーくん)はぁ…,
,-,(プリクラ本を眺めて圭のことを思い出す),
,祠堂圭,大丈夫…絶対に助けを連れてくるから…,
,直樹美紀,圭…,
,恵飛須沢胡桃,(地下の食品売り場を走る胡桃)あった…！,
,恵飛須沢胡桃,よし、大漁大漁。おっ、大和煮,
,-,(手を伸ばしたところで太郎丸登場),
,恵飛須沢胡桃,え,
,太郎丸,クゥ〜ン…,
,-,(互いに驚く),
,恵飛須沢胡桃,い、犬！？,
,太郎丸,ワン！ワン！ワン！,
