時間,キャスト,セリフ,BGM
,直樹美紀,由紀先輩が作っていた、手作りの卒業アルバム,Vol.1 - 20 - 冷酷な表情
,直樹美紀,そこには、私と、先輩たちの出会いも描かれていた,｜
,直樹美紀,デパートに閉じ込められていた私。まだ圭がいた頃…そして、別れ…,｜
,直樹美紀,私は、先輩たちに出会い、助けられ、この学校に帰ってきた,｜
,直樹美紀,これは、私がまだ、部員になる前のこと,｜
,丈槍由紀,でね、新入部員になってくれると嬉しいなって思うんだぁ,｜
,丈槍由紀,うん！そう！,｜
,直樹美紀,声…,｜
,丈槍由紀,だって。同じ制服だからうちの子じゃないかな〜って,｜
,丈槍由紀,そしたら仲間が増えるよね,｜
,丈槍由紀,大丈夫だよ、私に任せてってば,｜
,太郎丸,ワン！,｜
,丈槍由紀,そうだよね〜太郎丸もそう思うよね〜,｜
,直樹美紀,今の…,｜
,丈槍由紀,(目を覚ますみーくん、その目の前に座る由紀)おはよう。ふっ…,Vol.1 - 20 - 冷酷な表情
,-,(OP),ふ・れ・ん・ど・し・た・い
,-,(顔を手で押さえるみーくん),Vol.1 - 02 - 朝の訪れ
,丈槍由紀,まだ調子悪い？,｜
,佐倉慈,とりあえず、お水でも汲んであげなさい,｜
,丈槍由紀,ぁ…そうだね,｜
,丈槍由紀,お水飲む？,｜
,直樹美紀,ぇ、あぁお願い…,｜
,丈槍由紀,OK！,｜
,直樹美紀,ここ、学校…？,｜
,丈槍由紀,はい！(水を差し出す由紀に驚くみーくん),｜
,丈槍由紀,どうぞ,｜
,-,(水を飲むみーくん),｜
,直樹美紀,ありがとう…えっと…同じ学校の、巡ヶ丘の人？,｜
,佐倉慈,あら…そういえば自己紹介がまだだったわね,｜
,丈槍由紀,その通り！,｜
,丈槍由紀,巡ヶ丘高校3年C組！丈槍由紀だよ！,｜
,佐倉慈,佐倉慈よ。巡ヶ丘高校の教師…,｜
,直樹美紀,(めぐねぇが話すのを遮る)嘘…貴方、3年生、なんですか？,｜
,丈槍由紀,うん！そうだよ！,｜
,佐倉慈,早速無視なの！？,｜
,丈槍由紀,貴方は？,｜
,直樹美紀,2Bの直樹美紀、です,｜
,-,(目を光らせる由紀),Vol.1 - 02 - 朝の訪れ
,丈槍由紀,じゃあ！私が先輩だね！,-
,直樹美紀,ホントに年上…？,-
,直樹美紀,あ、あの…ここは、どこですか？,-
,丈槍由紀,学園生活部の部室だよ,-
,佐倉慈,もう、それだけ言ってもわからないでしょ。ちゃんと学校だって言わないと,-
,丈槍由紀,ぅあぁ、ごめんめぐねぇ,-
,佐倉慈,まためぐねぇって言ってる。違うでしょう,-
,丈槍由紀,はーい、佐倉先生。お詫びにこれあげる,-
,-,(ペットボトルが転がる音),-
,佐倉慈,ありがとう、って！飲みかけのペットボトルじゃない…,-
,丈槍由紀,ここは私たちの学校だよ！巡ヶ丘高校！,-
,直樹美紀,学校…,-
,-,(これまでの出来事を思い出すみーくん),Vol.1 - 23 - 言いたかった言葉
,直樹美紀,本当に…学校なんだ…,｜
,丈槍由紀,そんでねー！,｜
,太郎丸,クゥーン…,｜
,丈槍由紀,あ…お前も居たね,｜
,直樹美紀,太郎丸！,｜
,丈槍由紀,そうそう、この子が君のこと知らせてくれたんだよ,｜
,直樹美紀,え…？,｜
,直樹美紀,太郎丸…そうだったんだ…,｜
,-,(手を差し伸べようとするみーくんに吠える太郎丸),｜
,直樹美紀,あの…私…嫌われてるみたいです,Vol.1 - 23 - 言いたかった言葉
,丈槍由紀,はわわわわわ…,-
,佐倉慈,えっとぉ、そうだわ由紀ちゃん。久しぶりなんだし、学校の中を案内してあげましょう,-
,丈槍由紀,ぅ、うん！そうだね！めぐねぇ！,-
,-,(みーくんの腕を掴む由紀),-
,丈槍由紀,さぁ！行こうみーくん！,-
,直樹美紀,え…,-
,直樹美紀,みーくんって…あぁドア開けっ放し…,-
,丈槍由紀,めぐねぇ居るから大丈夫だよぉ,-
,丈槍由紀,まずはここがね、音楽室,-
,直樹美紀,知ってますよ…私だって、ここの生徒だったんですから…,-
,丈槍由紀,軽音部の人居るかなぁ,-
,直樹美紀,部活？学校では、何も起こってないの？,-
,丈槍由紀,あれぇ居ないなぁ。みーくん、大丈夫そうだよ、入ろー,-
,直樹美紀,いや、そもそもあれは全部、夢…だったのかな,-
,-,(目を見開くみーくん),-
,丈槍由紀,ね！すごいでしょ！,Vol.2 - 15 - 記憶の中の景色
,丈槍由紀,いろんな楽器があるんだよ〜,｜
,丈槍由紀,ん？どうしたの？,｜
,直樹美紀,いえ…ホント…すごいですね,｜
,-,(目の前に広がる光景に絶望するみーくん),｜
,直樹美紀,やっぱり…夢じゃない,｜
,佐倉慈,ほら、ちゃんと説明しないと分からないじゃない,｜
,丈槍由紀,ぁ、そうだね、めぐねぇ,Vol.2 - 15 - 記憶の中の景色
,丈槍由紀,学園生活部に入ったら、ここで放課後歌いたい放題だよ！,-
,直樹美紀,学園生活部？,-
,-,(ラジオで音楽を流す由紀),Vol.1 - 12 - 学校のためのソルフェージュより
,丈槍由紀,ね？どう？,｜
,直樹美紀,電気の無駄遣いですね,｜
,丈槍由紀,そんなぁ〜…,｜
,丈槍由紀,せっかくベートーベンさんも、バッハさんもモーツァルトさんも見てくれてるのに,｜
,直樹美紀,どうでもいいです,｜
,丈槍由紀,え！どうしようめぐねぇ…,｜
,佐倉慈,うーん…,｜
,丈槍由紀,とりあえずコレ重いから持ってぇ,｜
,佐倉慈,えー…嫌だ、ホントに重い,｜
,直樹美紀,いいから早く行きましょう、由紀先輩,Vol.1 - 12 - 学校のためのソルフェージュより
,直樹美紀,(由紀に雷が落ちる)由紀先輩…由紀先輩…先輩…先輩…,-
,丈槍由紀,い…今の…もう一度言って,-
,直樹美紀,早く行きましょう、由紀先輩,-
,丈槍由紀,(ご満悦な由紀)はぁぁぁぁぁ〜！,-
,直樹美紀,気持ち悪いです…,-
,丈槍由紀,ほら、先輩っていい響きだなって,Vol.1 - 12 - 学校のためのソルフェージュより
,佐倉慈,由紀ちゃん、ずっとそう言われたがってたものね,｜
,直樹美紀,なら、もう少し先輩らしくしてください,｜
,丈槍由紀,みーくんはきっついなぁ,｜
,直樹美紀,だからみー君って何ですか,｜
,丈槍由紀,美紀だからみーくん！ダメ？,｜
,直樹美紀,ぅ…美紀でいいです,｜
,丈槍由紀,えー？,｜
,丈槍由紀,みーくんの方が可愛くない？,｜
,直樹美紀,可愛くなくていいです,｜
,丈槍由紀,みーくん可愛いのにぃ。ね、めぐねぇだってそう思うでしょう？,｜
,佐倉慈,由紀ちゃん、無理強いしちゃいけないわよ,｜
,丈槍由紀,え？めぐねぇは可愛いと思わない？,｜
,佐倉慈,可愛いとは思うけど、そういうことじゃないでしょう,｜
,直樹美紀,あの、さっきから何を言ってるか分からないんですけど…,｜
,直樹美紀,1つ、聞いてもいいでしょうか,｜
,直樹美紀,めぐねぇって…,Vol.1 - 12 - 学校のためのソルフェージュより
,直樹美紀,誰ですか？,-
,-,(アイキャッチ),-
,-,(りーさんに抱かれている太郎丸),-
,恵飛須沢胡桃,あれ？また開けっ放しだよ、由紀の奴,-
,恵飛須沢胡桃,おーい、由紀ー！開けっ放しだぞぉ！ってあれ？,-
,恵飛須沢胡桃,居ねぇ、由紀もあいつも,Vol.1 - 13 - 冷淡な宣告
,丈槍由紀,えーっと…みーくん何言って…,｜
,丈槍由紀,ぁあ！めぐねぇ、そんなことないよ,｜
,丈槍由紀,めぐねぇは存在感無くはないよ,｜
,丈槍由紀,ぁぁあ、落ち込まないでめぐねぇ,｜
,丈槍由紀,もぉ、酷いよみーくん,｜
,丈槍由紀,確かにめぐねぇ影薄いけど、見て分からないほどじゃないよ,｜
,丈槍由紀,え？ぁあぁごめん！いい意味で！いい意味で影が薄いんだよ！ぁぃやえぇと、んもぉ。みーくんも言ってあげて,｜
,丈槍由紀,めぐねぇは影薄くないよって,｜
,直樹美紀,あの…,｜
,丈槍由紀,めぐねぇは、ちゃんといるよって、ね？,｜
,恵飛須沢胡桃,由紀！,｜
,-,(息を切らす胡桃とりーさん),Vol.1 - 13 - 冷淡な宣告
,太郎丸,(餌をあげる胡桃、それを食べる太郎丸)ワォン！,-
