時間,キャスト,セリフ,BGM
,-,(廊下を歩くみーくん、外ではカレラが闊歩する),-
,直樹美紀,また、数が増えてる…,-
,丈槍由紀,(教室から由紀の声が聞こえる)ゆく河の流れは絶えずして…,-
,丈槍由紀,しかももとの水にあらず,-
,丈槍由紀,淀みに浮かぶうたかたは、かつ消え、かつ結びて、久しくとどまりたるためしなし,Vol.2 - 10 - 優しさに触れた時
,直樹美紀,ぁ…,｜
,丈槍由紀,世の中にある人と、すみかと、またかくのごとし(圭の幻覚を見るみーくん),｜
,丈槍由紀,ぁ…みーくん。どうしたの？,｜
,直樹美紀,由紀先輩、また居残りですか？,｜
,丈槍由紀,そうなの、古典苦手だから,｜
,直樹美紀,私、割と好きなんで教えましょうか？,｜
,丈槍由紀,え！本当？こんな難しいのよくわかるね,｜
,直樹美紀,方丈記ですよね。友達が好きだったんです,｜
,丈槍由紀,(由紀がみーくんにくっつく)ねぇ！すごいよねみーくん！,｜
,直樹美紀,何が、ですか？,｜
,丈槍由紀,だってこれって、ずっと昔の人のお手紙なんだよね,｜
,直樹美紀,ざっと800年ほど昔ですね。手紙っていうか、随筆ですけど,｜
,丈槍由紀,(みーくんの手を握る由紀)800年だよ！そんな昔の人の気持ちが、今の私たちに伝わるんだから、手紙ってすごいね！,｜
,直樹美紀,ぁぅ…先輩がエキサイトする気持ちは分かりました。じゃあ…始めましょうか,Vol.2 - 10 - 優しさに触れた時
,-,(OP),ふ・れ・ん・ど・し・た・い
,恵飛須沢胡桃,(ドアを開けて入ってくる胡桃)ぅいいぃぃ…,-
,恵飛須沢胡桃,夜風はやっぱりきついなぁ,-
,若狭悠里,そうね、今はいいけど、冬になる前に対策を考えないと…,-
,恵飛須沢胡桃,冬か…実感ないなぁ,-
,恵飛須沢胡桃,由紀はもう寝た？,-
,若狭悠里,遅くまで勉強してたみたいだから、ぐっすり,-
,恵飛須沢胡桃,そっか…(あくびする胡桃),-
,若狭悠里,うっふふ…私達もそろそろ寝ましょうか,-
,恵飛須沢胡桃,なぁ部長…これが全部夢でさ,-
,恵飛須沢胡桃,朝起きたら、いつもの学校でって考えたことあるか,-
