時間,キャスト,セリフ,BGM
,-,(カレラとなっためぐねぇが歩いている),Vol.2 - 19 - 不吉な夢を見る
,-,(めぐねぇの手記には学園生活部3人の名前が書かれている),Vol.2 - 19 - 不吉な夢を見る
,-,(OP),ふ・れ・ん・ど・し・た・い
,-,(鍵を挿しているりーさん),-
,若狭悠里,ここの鍵でもないか…一体、どこの鍵なんだろう…,-
,丈槍由紀,待て待てー！,-
,-,(ペタペタ音を立てて走る由紀。息を切らして止まる),Vol.1 - 16 - こら 賢い太郎丸！
,太郎丸,ワン？,｜
,丈槍由紀,ふっふっふー、どうやらここまでのようだね、太郎丸君。観念なさい！,｜
,-,(飛び上がる太郎丸),｜
,丈槍由紀,って…あれ？,｜
,丈槍由紀,(由紀の顔面に着地する太郎丸)ぅあー！,｜
,丈槍由紀,(怒りながら追いかける由紀)キシャー！,｜
,若狭悠里,(逃げる先にりーさんが横切っている)あら？もう、二人共…廊下を走っちゃ…め！でしょ…,Vol.1 - 16 - こら 賢い太郎丸！
,丈槍由紀,(怯える太郎丸を背後から捕まえる由紀)隙あり！,-
,丈槍由紀,やっと捕まえたぁ,-
,若狭悠里,随分汚れてるわね、どうしたの？,-
,丈槍由紀,気づいたら、太郎丸首輪抜けしちゃってて,-
,丈槍由紀,探したら屋上の池で泳いでたの,-
,若狭悠里,池？あぁ貯水槽のことね。あんな藻だらけの中で,-
,丈槍由紀,だから、洗おうと思ったんだけど…,-
,若狭悠里,それでまた追いかけっこして、こうなっちゃったのね,-
,丈槍由紀,うん…,-
,太郎丸,クゥーン…,-
,丈槍由紀,ごめんなさい,-
,若狭悠里,仕方ないわね。廊下は私がやっておくから、由紀ちゃんは太郎丸を洗ってきて,-
,丈槍由紀,うん分かった！,-
,丈槍由紀,もう、太郎丸のせいで廊下が汚れちゃったんだぞ,-
,-,(ペタペタ音を立てて歩く由紀),-
,若狭悠里,ま…！,-
,若狭悠里,由紀ちゃん…,-
,丈槍由紀,ぁ？,-
,丈槍由紀,ぁ！しまった…！長靴のまんまだ,-
,-,(オーラを放つりーさん。それを見て怯える由紀と太郎丸),-
,-,(体を洗われている太郎丸),Vol.1 - 01 - 目覚めのワルツ
,丈槍由紀,お湯加減はどうですか？,｜
,太郎丸,ワォ〜…,｜
,丈槍由紀,じっとしててね、そしたらすぐ終わるから〜,｜
,-,(お湯をかけられて身体を震わせる太郎丸),｜
,丈槍由紀,ぅぅぁあ！もうすぐだからぁ！,｜
