時間,キャスト,セリフ,BGM
,恵飛須沢胡桃,3年B組！恵飛須沢胡桃！行っきまーす！,
,恵飛須沢胡桃,(ブラシで貯水槽を擦る胡桃)うりゃああぁぁ！！,
,-,(水を浴びる由紀と太郎丸),
,恵飛須沢胡桃,おら！どうしたどうした！,
,恵飛須沢胡桃,そんな屁っ放り腰では、汚れが落ちんぞ！,
,丈槍由紀,だって胡桃ちゃん、この床結構ぬるぬるだよ,
,太郎丸,ワォォォン…,
,恵飛須沢胡桃,バッカモーン！私の事は軍曹と呼べー！,
,丈槍由紀,えー！なんか今日はノリが変だよ胡桃ちゃん…,
,恵飛須沢胡桃,だから軍曹だ！えーい！我に続けぇ！丈槍上等兵ー！,
,丈槍由紀,へーい…,
,恵飛須沢胡桃,もっと気張れぇ！,
,丈槍由紀,らじゃー,
,丈槍由紀,んぬぅおぉぉ,
,恵飛須沢胡桃,まだまだー！,
,丈槍由紀,のほほぉぉぉ,
,若狭悠里,2人とも、滑らせないようにね〜,
,丈槍由紀,了解でありまぁぁぁああ！,
,恵飛須沢胡桃,と！止まれー！,
,-,(由紀と胡桃がぶつかる音),
,若狭悠里,ちょっと！大丈夫？,
,丈槍由紀,だ、大丈夫…,
,太郎丸,ワォン？,
,恵飛須沢胡桃,いてて…どこ目ぇつけてんだよぉ…,
,丈槍由紀,だってぬるぬるがぁ,
,恵飛須沢胡桃,たくぅ気をつけろよな,
,直樹美紀,元気ですね2人とも,
,若狭悠里,ホント…由紀ちゃんの水着の予備があって良かったわ。よく似合ってるわよ,
,直樹美紀,嬉しくありません…大体、あのショッピングモールから何でこんなもの持ってきたんです？他にもっと必要なものが,
,若狭悠里,うっふふ…だって私たちは女の子だもの,
,直樹美紀,でも…昨日、あんなことがあったばかりなのに…,
,直樹美紀,本当にこんなことしてていいんでしょうか…,
,太郎丸,ワォ〜ン〜,
,丈槍由紀,すごい、太郎丸が滑るだけでピッカピカー！,
,若狭悠里,気になるのはわかるけど、今は考えないでおきましょう,
