時間,セリフ
0:00,ブロリー！オラお前を許せねえ
0:05,まずは お前から血祭りにあげてやる
0:10,カカロット…なんだそれは…何なんだそれはァ！
0:17,おめえには絶対にたどり着けない世界さ
0:22,カカロット…小さくなって隠れようったってそうはいかんぞ？
0:28,オメェ意外と面白いこと言うなぁ
0:32,カカロット…カカロットォ！
0:36,ブロリー…生きていたのか…
0:40,カカロット…カカロットォ！
0:44,なんだなんだカカロット？僕そんなもん食べたことない
0:50,やーい！子供相手にマジになって大人気ないぞ お尻ペンペーン
0:57,殺す！
0:58,フン…バケモノが
1:01,俺がバケモノ？違う…俺は悪魔だァ
1:08,これはとんでもねえバケモンが出てきやがったな
1:12,俺がバケモノ？違う…俺は悪魔だァ
1:20,あのまるっこいのからぶっ潰してやる
1:23,な なんでいつも俺だけだけこんな目に…
1:28,俺たちの他にもサイヤ人の生き残りが？ぃいや…そもそもこいつ サイヤ人なのか？
1:38,カカロット…じゃないぃ…紛らわしいぞォ！
1:43,ブロリー サイヤ人の王子 ベジータが相手だ
1:48,お前だけは 簡単には死なせんぞ
1:53,久しぶりだな 伝説のスーパーサイヤ人さんよ
1:57,なんだ？その姿は それで俺に勝てるつもりか？
2:03,同じサイヤ人でも　暴れるばかりで品がねえんだよ てめえは
2:11,ハハハハハ 品のいいサイヤ人などいるものか
2:15,何！？こいつもサイヤ人なのか
2:19,フッ フフフフ…そこのちっこいの 俺に用か？
2:24,伝説のスーパーサイヤ人といえども 今の私には 恐れるほどのものではありません
2:32,俺を舐めているな？
2:35,サイヤ人は皆殺しだ
2:37,皆殺し？いいアイデアだなァ
2:43,やいやいブロリー あの時はよくもやってくれたな！
2:47,なんだ？お前は 誰だ？
2:52,カカロッ…ト？
2:54,残念 ちょっと違うんだよなァ
2:58,カカロット…？なんなんだその仮面は！
3:04,なんなんだ今のはァ？所詮クズはクズかァ
3:10,ハッ！もう終わりか その程度で俺が満足すると思うか？
3:18,フッフッフッ そう来なくちゃ面白くない
3:22,何…？なんて奴だッ
3:25,貴様…！バケモノッ？いや…天災か！？
3:32,死にたい奴からかかってこいぃ！
3:35,目障りなクズだ
3:38,ヘッハッハッハッハッ！貴様らァ！皆殺しにしてやる！
3:44,そんなに俺に遊んで欲しいのか？ハハハックズめ 退屈しのぎに痛ぶってやるか
3:54,ハハハハハッ 何だ？猿真似か？
3:58,フン…ただの虫けらじゃあないようだな 面白い すぐに殺すのはやめだ 貴様はもっとじっくりとたどり尽くしてやろう 壊れるまで しばらく遊べそうだ ハーハハハハハハ
4:18,楽しい時間の始まりだ フフフフフフ
4:22,なぁんだ？あいつは
4:26,あいつも貴様の命を狙っているのか？ケハハハハハハ！だが！ 貴様を殺すのは俺だ！
4:35,また俺の技を…それで俺と対等になったつもりか？
4:41,フン…やめだ
4:43,邪魔者は消えたか…これでゆっくり貴様を殺せるな
4:49,貴様は…俺とあいつの攻撃から生き延びた もう少し楽しめそうだからな 殺すのは 次にとっておいてやる フフフフフフ…
5:03,フフフフフ…そろそろ死ぬ準備はできたか？さっさと始めるぞ！
5:10,逃げたければ逃げれがいい が 俺はどこまでも貴様を追い続けるがな
5:16,クズめ！そんな戦いしかできんのなら 今すぐここで潰してやるぞ！
5:24,どうだ？俺の技の使い心地は 貴様の力では制御しきれんかもしれんな
5:33,何…？貴様の何処にそんな力が！
5:37,チッ…命拾いしたようだなぁ…次は本気の俺を見せてやろう！
5:45,俺を相手にここまで生き延びるとはなァ…これが最後だ 跡形もなく消し飛ばしてやるぞ
5:55,この技まで使うとは　猿真似もそこまでくれば立派だなァ！
6:02,いいぞぉ…もっと気を高まらせろォ！ふぅっフフフフフッハッハッハッハッハッ！
6:11,貴様は生かしておいてやる だが 勘違いするな 貴様がより強くなったところで…俺がそいつをじっくり味わおうというだけだァ フッフッフッフッフッフッハッハッハッハッアハッハッハッハッ
6:30,もういい！俺が終わらせてやる！
6:34,邪魔をすれば 貴様も殺すぞ！
6:38,俺が怖いなら 黙って見ていろ！
6:41,え…えっと…今から特別授業を開始します 皆さん 参加してください
6:50,はい 行くわよ〜
6:53,ライトライト レフトレフト くるっとターンで にっこりスマイル〜
6:57,ダンスに集中してちょうだ〜い
