時間,セリフ
0:00,フゥゥゥッ…
0:04,イヤッ
0:06,フンッ
0:09,カッ
0:12,セヤッ！
0:14,ィヤ！
0:16,ケアァ！
0:19,ゥアァ！
0:22,チェァ！
0:24,ハハッ！
0:27,ケェイ！
0:29,ぐはぁ！
0:32,うっほ！
0:35,ぅうおおお！
0:38,ぐっほぉぉぉおお！
0:41,ぐふっ…
0:44,がは！
0:47,がはぁ！
0:49,ぐはっ！
0:52,がぁ！
0:54,ごぉぉ！
0:58,のわぁ！
1:01,ぐぉあ！
1:04,ぬぉあ！
1:06,ぐぅ！
1:09,ダダダダダダ！
1:12,ぅぅぉおおぉ！
1:15,ラララララララ！
1:18,ゼェァア！
1:21,ぅぉお！
1:24,ぐぅぁぁあ！
1:27,ヘアー！
1:30,デア！
1:33,ハァハー！
1:35,チェィ！
1:38,はっ！
1:40,雑魚が…
1:43,うひぃ！
1:46,ぐぬ！
1:49,ぬぅ！
1:52,うぅぉぁあ！
1:55,ぜぁぁぁあ！
1:58,ぃぃいえあ！
2:01,ぬぅあ！
2:05,ぬぅぅぉお！
2:08,はぁぁぁああ！
2:12,こぉぉぉおお！
2:17,ぬぅりや！
2:20,ザ…！雑魚が…！
2:25,グァ…グァァ
2:29,ハァ！
2:31,ヘアー！
2:34,ハォ！
2:36,ダッ！
2:39,フッ！
2:42,カァッ！
2:44,何処だぁ…？
2:47,フンン…
2:49,ハァッ
2:52,触れるな
2:54,ぉおお！
2:57,がぁぁ！
3:00,んん？
3:01,とぉ！
3:04,ヌゥゥリァ！
3:08,カカロットォ！
3:11,消えろぉ！
3:14,ゲァァ！
3:17,交代だ
3:20,助けなど…
3:23,不甲斐ない…
3:27,フハハハハ！
3:30,俺が殺してやろう
3:34,俺の番だァ
3:38,逃すか！
3:40,殺してやる
3:43,ハァー
3:46,ふんぬ
3:49,どぁ！ん…何だとぉ！？
3:55,誰だぁ？お前はァ…
3:58,ぅうおぉ！
4:01,ハハァ…！気が高まる…
4:05,カカロットッ
4:08,カカロット…？
4:12,誰だ…お前はぁ
4:15,誰だぁ…お前は
4:19,ハハハハハハハハハハ
4:24,もう終わりか
4:28,カカロット…カカロットォ！！！
4:35,お前など興味は無い…カカロットは何処だ！
4:41,どうした雑魚め…フッハッハッハッハッハッハッ
4:48,殺してやるぞぉ
4:51,フッ！！
4:54,カッ
4:56,イヤ
4:59,ヘァー！
5:02,うぁぁ！
5:05,デェリァ！
5:08,ダァ！
5:11,ハァァ！
5:13,デェェ！
5:16,ケェイ！
5:19,だぁぁぁあああ！
5:22,ぬがっ！
5:25,ごぁぁ！
5:28,ぐぅぅぅぁぁあ！
5:32,ぐぁぁぁぁぁ！
5:36,ぬがぁ！
5:39,ぐぅ…！
5:42,ごぁあ！
5:44,ごぉぉ！！
5:47,なぁぁ！
5:49,ぐぅあ！
5:52,ぬぅわぁぁ！
5:55,ぐおあぁ！
5:57,ぬがぁぁ！
6:00,ぐほぁあ！
6:03,ダダダダダダ！
6:06,ぃいやぁおぉ！
6:09,オラララララララ！
6:13,ゼェアアァ！
6:16,うぅおぉ？
6:18,ぐぉぁぁ！
6:21,ヘアー！
6:24,ダァ！！
6:26,ヘハァ！
6:29,チェイ！
6:31,ハァ！！
6:33,雑魚がァ…
6:36,ふぅいひひ…
6:39,ぐぬ…
6:42,ぬぅ…！
6:45,うぅぁぁぁ！
6:48,ぜぁぁぁ！
6:51,むぅぁぁあ！
6:54,ひぃあ！
6:57,ぅうおぁ！
6:59,ハァァァ！
7:03,ぐぅぁぁああ！
7:06,うぅぎゃぁ！
7:10,クズめェ…！
7:13,ぬぅァ！
7:16,ハァッ！
7:18,ヘアー！
7:21,ふぁお！
7:23,カァ！
7:25,デェ！
7:27,ケェ！
7:29,逃げたかァ？
7:32,見つけたぞ
7:35,ファァ
7:37,触れるな！
7:39,ぬあぁっ！
7:42,殺してやるぅ！
7:44,むっ！
7:46,とぁ！
7:49,ふりぁ！
7:53,ぅううえははぁ！
7:57,フッヒッヒッヒッヒッヒッ
8:00,ぬぅぇあ！
8:04,これでくたばるがいい
8:06,ずぅぇあぁ！
8:10,つまらんなァ…
8:14,助けなど…！
8:17,不甲斐ない…
8:20,こぉろしてやるぞぉ
8:23,俺が殺してやろう…
8:27,俺の番だ
8:30,逃すかッ！
8:33,殺してやるゥ…
8:36,ハァ
8:38,フンヌ
8:40,ふはっ…なんて奴だッ…！
8:45,お前などに興味は無いぃ！
8:49,どうやら死にたいようだなァ…
8:53,カカロットォ！
8:57,カ…カカロット…？
9:01,誰だお前は 死にたいのか
9:06,誰だお前はぁ 死にたいのか？
9:12,お前など興味は無いぃ カカロットは何処だァ！
9:18,これで終わりか？
9:22,死に損ないめェ
9:26,グゥゥゥッ！ウフハハハハハ！
9:31,どうしたクズめェ…フフハハハハハ
9:37,今楽にしてやるぞぉ…
9:42,今 楽にしてやるぞぉ
9:46,むぅぅい！
9:49,むぅ！
9:52,セィ！
9:55,フッ！
9:58,うぅぇはっはぁ！
10:01,ゲヘェ！
10:04,ウリャッ！
10:07,セェイ！
10:09,ふぁぁあ！
10:12,うりゃりゃぁ！
10:15,ヘッハッハッハッハッハッ
10:18,グハ…！
10:21,グハ…
10:24,ぅぅっぐぅぁああ！
10:28,ぐぉぉぉおおお
10:32,はんがぁ
10:35,んぐぉぉ
10:38,ごうぅ
10:41,ごぉぉ
10:43,ごぁ！
10:45,がはぁ
10:48,ごぉほぉ！
10:51,ぬぅぁぁ！
10:54,だあぁ！
10:57,どぅが！
10:59,ワダダダダダ！
11:03,ぇええいやぁ！
11:06,こぉんなものかァァァ！！！
11:09,ぅううぇ！
11:12,何ッ！
11:14,ぐあぁ！
11:17,カァッ…！
11:20,フッ！
11:22,ハァァ…！
11:24,うあぁ
11:27,うぉぉ！
11:30,ザァコがァ！
11:34,フッヒヒヒヒヒヒ！
11:37,こんなものッ！
11:40,ゲェイ…！
11:43,がぁぁぁああ！
11:47,ぅぅぅううおぉ！
11:51,うああぁっ！
11:55,ぃぃぇえあぁ…
11:59,ぅぅううおぁ！
12:02,はぁぁぁあああ！
12:07,ぐぅぅぅぇえ！
12:10,こぉろしてやるぅ！！！
12:14,雑魚がァ…！！
12:18,ハァ…ハァ…！
12:22,フゥ！
12:25,ムゥ！
12:27,ヘェ！
12:30,フッ！
12:32,カッ！
12:34,無駄だァ！
12:37,チッ…雑魚がァ
12:40,あそこかァ…
12:43,ゼェェェイ！
12:46,ギェハハァ！
12:48,ゲェェェイ！
12:50,死ねぇい！
12:53,ィイェェイ！
12:56,手加減って何だ？
12:59,うぇあ！
13:01,ヘッハッハァ！
13:04,む！
13:06,とぉっ！
13:08,んんんむッ！
13:10,ぇえええいッ！
13:12,むぁ！
13:15,死ぬがイイ！！！
13:18,むぅぅぁああ！
13:22,ハハァァァ！！！
13:25,カカロットォ！！
13:29,フッヒッヒッヒッヒッヒッ…
13:33,ふぅぅんい！
13:37,イヤッ！
13:39,無駄な事ぉ…今楽してやる！
13:43,イェイ！
13:46,とっておきだ！
13:50,お遊びは終わりだァ！
13:54,不甲斐ないぃ…
13:57,助けなどッ
14:00,すぐに楽にしてやろう
14:05,俺が殺してやろう……
14:09,血祭りにあげてやる
14:12,逃すかァ！
14:15,殺してやるぅ
14:19,ムゥ！！
14:21,ケッ！
14:23,グァァ！バカなァァァ！！！
14:29,今楽にしてやるぅ…
14:32,また一匹ムシケラが死にに来たかァ？
14:36,さぁ来い！ここがお前の死に場所だ
14:42,雑魚は引っ込んでいろぉ
14:46,雑魚がァ…何処だァ…カカロットォ！
14:53,カ…カカロット？
14:57,俺がバケモノ？違う 俺は悪魔だぁフヘハハハハハハハハ！
15:08,フン！雑魚が集まったところでェ無駄なのだ！
15:15,カカロットォッ！
15:20,カカロットォ！！！
15:23,カカロットォ まずお前から血祭りにあげてやるぅ
15:30,さぁ来いぃ！ここがお前の死に場所だ！
