時間,セリフ
0:00,ぁああああぁ
0:03,兄さん結婚してんの
0:05,奥さんいくつ
0:08,奥さんの写真とかないの
0:10,えー
0:11,おまけして60点じゃね〜？
0:14,奥さん毎日可愛がってるわけ
0:17,んだから毎日可愛がってんのかっつってんの
0:21,エロい…エロいわ〜
0:24,なんでよ
0:26,お母さん こいつ殴っていいですか
0:30,カァー ドンマイドンマイ
0:33,うっさいなあ
0:35,カァーペッ
0:38,問題 埼玉と言って思い浮かぶものは何でしょう
0:42,え！これだけって事ないでしょ
0:45,他の関東の奴らなんざに全然負けてませんよ
0:50,フッ！
0:51,まままままま
0:53,埼玉県民が大人しいからってつけあがりやがって
0:57,もう怒った
1:03,埼玉県民を本気で送らせた
1:05,ご安心なさい
1:09,三年寝太郎が目覚める時がやってきましたよ
1:11,呼んだ
1:13,おー 土田だ
1:14,芸人だよ
1:15,よ！待ってました！たっぷり
1:18,うちのおじいちゃん
1:21,ただのロボットじゃねえぞ 人が乗って運転するタイプ
1:26,リーー
1:28,おほほほほほぉ すげぇぇ
1:32,ロケットパーンチ
1:35,あ？ なんだよ
1:37,ちょっとぉ あんた口臭いな
1:40,ぁああぁ！
1:43,血…血だぁ えええぇぇ！
1:47,ママー！助けてぇ！
1:51,こいつらがいきなり顔殴ったぁ
1:55,痛いよぉ…
1:57,ぶふぅ！
1:58,くすねてねぇよぉ
2:02,取ってないって 信じてよ 血を分けた自分の息子でしょ？
2:08,ひ…酷い…酷過ぎる
2:11,出てく 俺はこの家を出る
2:15,どうせバカです あなたの血を引いてませんから
2:20,そんなことできるわけねえだろ？はぁ いいですよ 私はここに住みますから 一生
2:28,おっかさ〜ん
2:32,美味い…美味すぎるぅ…
2:43,大人をなめるなよ
2:46,どっからでもかかってらっしゃい
2:50,ずるいぞ！一回蹴る振りしたろ 反則だ反則 アウトサァイド
2:56,交代交代
2:58,いきまーす お、近いな まだ近い こんなもんかぁ？
3:11,行っきまーす ​うぉおおおおお​おおおおお んにぁぁぁぁ
3:21,お前ら ちょっとは年長者に気を遣えよ
3:25,うふん お前らとはもう一生口聞かない
3:30,どういう教育してんだよ
3:33,子が子なら親も親だな
3:36,強力な助っ人呼ぶから もしもーし
3:40,見てろって
3:43,へへーっ
3:45,じゃ一人で行ってこいよ
3:48,隙ありぃ
3:50,お前の動きは全部読めるんだよ
3:54,ウソウソ 33
3:57,あぁーい
3:59,じゃあ 私は 失礼しまーす
4:02,はは…はぃぃ…
4:06,え〜もう脚に乳酸が溜まって立てません
4:11,だって こんなことやらなくたって 俺強いすもん
4:15,あー 信じてないな 埼玉じゃ敵なしですよ俺
4:20,いくら北斗さんと言えども 女性と比べるのはナンセンスですよぉ
4:26,マジすか？怪我しますよ？泣いちゃいますよ？恥かいちゃいますよ？
4:32,殺される…絶対殺される…
4:37,どしたん
4:39,何よ
4:42,何だよ もったいぶって
4:45,笑うかよ 人の悩みを笑うような人間じゃ あーりません
4:52,気持ち悪いやつだな
4:56,あ？
4:58,定収が無くて悪かったな
5:01,不細工でもいいのかよ
5:04,いい子ぶりやがって
5:06,ババァでもいいのかよ
5:09,熟女好きかよ マザコン​め
5:12,何だよ 嫌味かぁ
5:15,どれどれぇ？
5:17,さっきの人俺にも紹介してよ
5:21,男の価値は収入じゃなあい
5:26,高橋は確かに収入あるけど 人間的には最低ですよ〜
5:33,紹介してって〜
5:38,紹介して紹介して紹介して紹介して〜 いやっほ〜い　
