時間,セリフ
0:00,うむ そこの娘
0:03,うむ 察するに道に迷ったと見たがどうだ
0:06,うむ ちっとも大丈夫そうではないな
0:09,そのはがきを持っている者は新人トレーナーだな 我が研究所にポケモンをもらいに行くというわけだ
0:16,うむ 私がナナカマドだ 着いてきたまえ
0:20,どうした ポケモンが欲しくはないのか
0:23,うむ 出たとはなんだ出たとは
0:26,君が
0:27,ポケモンに出会ったら目の高さまで屈んで話しかけてやるといいよ
0:32,さすれば安心するはずだ
0:34,うむ 頑張りたまえ
0:36,うむ シンジ湖には 以前から伝説のポケモンがいると言われていてな
0:43,君が見たのもそのポケモンかもしれん
0:46,さぁてヒカリ君 思わぬこともあったが今日は君の旅立ちの日
0:50,まずはポケモン図鑑とモンスターボールを渡さねばならんな
0:54,ポケモン図鑑は君が出会うポケモンたちについて様々なことを教えてくれるだろう
0:59,そしてモンスターボールは ポケモンも入れて持ち運ぶための便利なアイテムなのだ
1:05,それでは シンオウ地方の初心者用ポケモン3匹のうちから1匹を選びたまえ
1:11,ほのおタイプのヒコザル 水タイプのポッチャマ 草タイプのナエトル
1:16,さて どのポケモンにするかね？
1:18,うむ ならばこれはポッチャマのモンスターボールだ
1:22,旅に出ると色々な事が起こる
1:25,何かあればいつでも 連絡してくれたまえ
1:27,どうしたんだ2人とも そのなりは はぁ
1:31,旅はぁ順調かね？
1:32,悪者…おぉ
1:35,うむ トドロキシティを目指すのはその後という訳だなぁ？
1:39,うむ よくぞ言った ポケモントレーナーたるもの常にポケモンの事を第一に考えねばな
1:46,こんな出会いも 旅の醍醐味の一つだ
1:48,頑張りたまえ！
1:49,君がサトシかぁ オーキド君から話は聞いておる それから 届いておるぞ エイパムのモンスターボールじゃぁ
1:58,君のピカチュウなら心配いらん 今朝ぁ 出発した新人トレーナーがロケット団と名乗る悪漢に追われるピカチュウを 保護したと言っておった
2:07,おい！君ぃ！
2:10,うむ 連絡を待っていたぞ
2:13,ピカチュウのトレーナーがここへ来たのか 名前はサトシ 今は君を追ってそっちに向かっている
2:19,うむ 良かった 実に良かった… お互いに 本当に良かった
2:25,うむ それからサトシに お母さんから荷物が届いておるぞ 
2:30,おぉ これは一本取られたなオーキド君
2:34,オーキド君？君も川柳でばかりメディアに出てないでもう少し ポケモン研究者としてアピールしたまえ
2:41,ポケモンにも人間同様様々な性格があるものなのだ
2:45,おっ 君は？
2:46,ん ならば裏庭へ来たまえ
2:49,だがぁ大きなダメージにはなっていないようだ
2:52,サトシの思いっぷりの攻撃力を確かめただけのようだ
2:56,気合いパンチは技を出す前に相手の攻撃を浴びると ひるんで技が出せなくなるのだ
3:02,うむ 電気タイプのポケモンは電気タイプの技を受けても大きなダメージにはならないのだ
3:08,ボルテッカーは攻撃の反動で自分もダメージを受けてしまう
3:13,まもるを利用してピカチュウを追い込むとは…彼も中々の使い手だ
3:18,何かねシゲル…
3:20,何…？ポケモンハンターが
3:22,我々も 今そちらに 向かっているところだ
3:25,シゲル ここで合流しよう よいか 気をつけるんだぞ
3:30,たった今 巡査さんと交流した 間もなく そちらへ到着する うむ では後ほど
3:36,なんと ポケモンハンターがタテトプスを
3:39,いずれにせよ みんな無事で何よりだった
3:43,ぉお
