時間,セリフ
0:00,少年
0:04,ねぇ そこの君
0:06,大丈夫ぅ
0:09,こっちこっち
0:10,おいおい 君ねぇ ちょっと驚くとかぁ何かしたらどうかなぁ？
0:16,あぁぁ 物怖じしないのは気に入った
0:20,君の名前は？
0:22,番号じゃなくてホントの名前を教えてくれぇ
0:25,奴隷？権利や自由を与えられず 所有物として譲渡売買される人間 財産権利等を他人に譲り渡す事
0:36,君はあったま悪いんだなあ
0:38,何故こんなのから私が生まれたのかさっぱり分からないぃ
0:44,君だろ？この私に血をくれたのはぁ
0:47,君が血をくれたから 私はこの世に生まれてた
0:52,ありがとう
0:54,えぇとぉ…やっぱり23号ではそっけがない 私が名前を付けてあげよう
1:01,立派なのがいいだろう〜そうだなうーん テオ テオフラストスボンパステュスえ…あ そうか長いのは覚えられないんだね 頭悪いから
1:15,それじゃ バッ バンホーエンハイムでどうだろう
1:19,綴りはぁ…って そうだ君文字の読み書きは
1:23,奴隷の仕事…自由と権利が欲しくないか？
1:30,人間としての権利を手に入れないまま 奴隷で一生を終える気か？
1:37,それでは息苦しいフラスコの中に居るのと同じだ
1:43,知識を与えてやろう バンホーエンハイム
1:47,フラスコの中の小人 ホムンクルス とでも呼んでもらおうか
1:54,おぉ？兄が
1:57,家庭ねぇ…人間は不便だな そうやってコミュニティーをもって繁殖せねばぁ種を存続できない 
2:06,そんなものかねぇ
2:08,そうだなぁ 贅沢は言わないが このフラスコから出られる身になれば 幸せかな
2:17,不老不死 どうして権力と栄華を極めた奴は そっちに行くのかね
2:24,君たちが知り得ない知識の源を壊すのかい
2:28,老いによる焦りか 悲しいね 癖落札王
2:36,いいよぉ 不老不死の方法を教えてやろう
2:41,大変だねぇ
2:46,ぁあぁ 不老不死になれるよ
2:50,世紀の瞬間ってやつだな
2:53,遠征陣の芯の中心は 君が立っているここだよ
2:59,私の中の君の血を使って 扉を開けさせてもらった
3:04,血を分けた家族 ホーエンハイムよ
3:08,今！君と私が全ての中心だ！
3:13,何故だ…！何故私のものにならぬ…！
3:18,神よ！何が気に入らないのだ！
3:21,お前が己を信じないからだ
3:27,他人の力を盗み 人から生まれたもののくせに 神とやらにしがみついていただけだ
3:34,お前自身が成長しておらん
3:38,7つの欲を切り離せば 人を超えられるとでも思ったか？笑わせるな
3:45,私は…完全な存在になりたかった…この世の全てを知りたかった…！欲して何が悪い！望んで何が悪い！出前求めて何が悪い！
4:01,何だっ 何だお前は 何だっていうんだ！何様のつもりだお前は！
4:12,私は お前たちが世界と呼ぶ存在 あるいは宇宙 あるいは神 あるいは神示 あるいは善 あるいは位置 そして 私はお前だ
4:29,思い上がらぬよう 正しい絶望を与えるのは真理
4:34,はぁ…！はぁぅ…！
4:38,だから お前にも 絶望を与えよう
4:42,おぉぉっおっぉおお！
4:49,戻りたくない…やぁだ…
4:54,やめろ…そこで縛られ続けるのは嫌だ…わぁぁあ！ああああぅぅうぅぅ！いやだ！やだ！やだぁぁぁ！！！
5:08,思い上がった者に絶望を
5:10,私はどうすれば良かったのだ
5:13,お前が望んだ結末だ
5:15,どうすれば良かったのだ！ぅぅぁあああぅぅぁああ！！！
5:25,お前はその答えを見ていただろうに
5:33,さぁて人柱諸君 私の為に働いてもらうぞぉ デュフフフフ…
5:40,私に協力してくれたら 身長を高くしてあげる！
5:45,私の息子も一人家出してぇ帰って来ない 困ったもんだぁ
5:51,私ははんぺんで 二度と帰って来なかったという
5:56,ギクッ…そぉんなことぉんないもぉん
6:00,身体を取り戻したら 服とかオシャレに気を遣わなければならなくなっちゃった アルポンス
6:06,身体だけでなく 心も取り戻さなければと誓ったエドワード
